视频标题,BVID,用户名,评论内容
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,自娱自乐的玩游戏,不可能，绝对不可能。我看的片子，明明都是姐姐或者妹妹发现，然后和姐妹两一起照顾丈夫，三个人幸福的生活在了一起[大哭]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,一冲一个不吱声,换了声优以后一直觉得不得劲儿
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,无尽の星尘,我觉得毛利最帅是雨城琉璃那次
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,I奎木I,早期的画风看着是真舒服
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,Makyuri,妻子的复仇
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,94042093592_bili,加油
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,松坂可可P,我记得之前看过个剧场版也是毛利小五郎很厉害来着，甚至压了柯南一头
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,薇_弗莱彻,我说实话，我真不怪小慧。。。妹妹和丈夫太过分了，完全干扰到了姐姐的正常生活轨迹，甚至间接造成了姐姐可能被杀。如果只是趁机把他俩关进去，那他们放出来以后怎么办。。。
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,放在箱子里的薛定谔,你们不觉得这个脖子很诡异吗[doge]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,Forever教授,你可以质疑毛利菜 不能怀疑美女律师的眼光[吃瓜][偷笑]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,realllelf,大叔认真的时候是警校传说这个设定挺好玩的
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,鲸乀落乀,[微笑]一直挺喜欢大叔，以前经常给大家带来搞笑场面，关键时候推理也不马虎[doge_金箍]反正看大叔就是挺开心哈哈
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,堂上二等图书正,这集我记得是TV原创吧？当时买DVD碟时第一次看，还感觉案件质量还挺高的
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,-止战战-,这集从小时候第一次看他不让毛利小五郎过来的时候我就知道车要爆炸了[doge]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,eliel1,这一集其实很体现毛利小五郎的办案风格，是非常传统老派的根据人物心理和过往行为分析，擅长推论不善于搜证。
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,梧桐街突突队长,毛利的生活其实我们很多人都过不上
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,jk7787,我第一反应是毛利大叔开车那集，车上被装了炸弹，很感人…
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,爱磕柯哀的小学生,三连三连，必须三连[喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢][喜欢]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,aibizz,up加油
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,鼠鼠寄了涅,小惠有一万种理由反驳，拒绝承认，甚至当庭翻供法律也拿他没办法，只能说动漫作品还是正能量为主
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,包子不是包子脸2,好久没看过动漫原创剧情了[笑哭]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,蓝瑟翼豪陆神,我记得好像有一集，小五郎好像一直在怀疑柯南，柯南一直在给提示[滑稽]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,爱吃米饭的汐,谁知道“看不见的嫌犯”，这集也是大叔推理的高光
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,楚龙骧,来了
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,点点无差齐,柯南道歉了吗[doge]
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,Sparkz45,不如看不见的嫌疑犯
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,bili_17250637869,怕不是琴酒做的事
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,小然子0406,挺幽默的，吊儿郎当，正直善良，有点儿傲娇，号酒，小毛病一堆。。我本人倒挺吃这种平时吊儿郎当的突然一认真严肃这种反差感的
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,无语了真的无语了哎,BV1rwDMBDEdb怎么评价这个视频up主@97年的王长歌 还有就是你如何看待柯南联动柜子这件事
评分9.7！小五郎最认真之作！细节讲解柯南最经典案件之一《汽车爆炸事件的真相》！！,BV1ZtDNBKE7E,海里里iii,毛利小五郎的高光时刻！被质疑时的隐忍与不甘，眼神里藏着不服输的韧劲，打破“废柴侦探”刻板印象，把角色的反差与尊严演得淋漓尽致，悟空追了，是全剧最圈粉的名场面之一。
