视频标题,BVID,用户名,评论内容
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,JHaoY,我能说千速已经是五年前的角色了吗[笑哭]
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,trancer,球球青山别再捧机车姐了好吗，你给她写的故事线真的没啥看头
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,双刀超人麒麟仔,新角色直接给主角位的剧场版，CP位也不算高人气角色，胆子真的大
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,迹部景吾我媳妇,但凡萩原研二和松田阵平多出场一点呢或者多搞点萩原姐弟也不至于这个德行，萩和松出场加一起有三分钟吗，还搞那个松千重的破三角恋
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,ADemetriusTPK,m29真的超级烂 后半段给我看得气笑了[笑哭] 顾于观影礼仪还不能笑 硬憋到结束之后和朋友狂喷几个小时
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,漫步人生路风霜伴我行,去年是黑衣组织主题    专门拉高票房的    今年比不过很正常  超过了才不正常
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,神人掌控者,有没有可能是因为今年柯南没有中国市场？[笑哭]
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,鳗鱼的畅想,本子经济不好+千速姐姐实在是太晚出现的新角色没人气
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,龟版阿一,为什么必须每年超过前一年才算成绩好，即使今年这部不能超过前年成为第一，也比其它一大堆电影好
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,細流JuanJuan,去年還有一個很大原因是，毛利小五郎終於又拿起了手槍！！！品酒師那部電影之後，終於又看到毛利大叔舉槍射擊，這誰能不去電影院支持啊[星星眼][星星眼][星星眼]
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,快乐席地而坐,别一个原因，对手超强有超幻马里奥大电影和坂本日常真人版和柯南竞争[doge]
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,SPU2008,熊出沒、哆啦A夢和柯南都是互相致敬，去年重啟未來的雪崩獨眼的殘像都有，光頭強踏到孢子石化和繪畫世界物語的伊澤爾都是這個技能，今年年年有熊的所有渝城的人被煞（王安全）五隻頭的龍的尖叫搞的所有人非常生氣說不想過年，高速公路的墜天使是黑色摩托車的人在横濱中華街追柯南和世良（劇透沒劇照），渝城、年關城和橫濱中華街都是一樣的中式元素，不知道熊13會不會又致敬柯南M30和哆啦A夢第46部電影
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,ConanDoyle590522,不过今年剧场版上映的早，往年上映这么多天已经过了黄金周，所以还得等黄金周过完了再下结论。
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,白金小艾,还是失败了[笑哭][笑哭][笑哭]
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,善良的小矿工,感谢小伙伴的精彩推荐~送上正片传送门：【https://www.bilibili.com/bangumi/play/ss33378?comment_type=auto&comment_mid=586350333&comment_avid=116485636889265】快来吃下这份安利吧~
新角色主役翻车！柯南M29票房不及去年，明年新兰能救场吗？,BV1v59mBoE7j,雾荇影,我好像比大家多一段记忆
听灰原哀唱一首《第五十七次取消发送》/“取消发送时你都在想些什么”,BV1VM9aB1E1y,你好我叫冷咖啡,gif有人要，发一下
