来源,页码,BV号,标题,播放量,评论数_reply,弹幕数,采样弹幕行数,采样评论行数
tag:名侦探柯南:view_desc,1,BV1EJ9yBdEEb,《柯南》男孩深山惨遭黑熊袭击，没想到竟扯出凄惨命案！,760791,365,409,149,132
tag:名侦探柯南:view_desc,1,BV1s49aBYEaM,打破常规的【反人类】案件，名柯后期吸血鬼大案！,470998,28,155,40,18
tag:名侦探柯南:view_desc,1,BV1SkRTBuEzw,真相，怎么会这么抽象！,286966,470,1088,542,294
tag:名侦探柯南:view_desc,1,BV1EHREBpEeB,名侦探柯南 1259,264664,184,253,0,92
tag:名侦探柯南:view_desc,1,BV1i5RcBPEvr,《柯南》女子竟被锁进车里，做成汽车罐头活活憋死！,162990,213,211,92,104
tag:名侦探柯南:view_desc,1,BV1tX9DBtECG,"""盘点动漫六大告白名场面""新兰世纪之吻！纯爱才是最温暖的告白!！",105451,7,6,7,7
tag:名侦探柯南:view_desc,1,BV1q4RTBJEtt,评分9.9！柯南朗姆现身之作！细节讲解柯南经典案件《黑衣组织的谋略》！！,92506,119,391,170,65
tag:名侦探柯南:view_desc,1,BV1ngR5B5Ekx,【郝大头动漫】新作上线，快来看看！,87393,1,3,4,1
tag:名侦探柯南:view_desc,1,BV1D2RFBpEjU,有人说黑狐王一开始夺舍的是小兰她妈，所以才一次又一次的放过小兰，进而成为黑狐帮圣女,71799,2,1,4,2
tag:名侦探柯南:view_desc,1,BV1CARvBzEk6,评分9.8！柯南最意难平之作！97细节讲解柯南经典案件《杀意源自咖啡之香》！！,60280,127,97,77,67
tag:名侦探柯南:view_desc,1,BV1HgR5B5E8z,【郝大头动漫】视频加载中，速速查收惊喜！,56075,7,1,3,7
tag:名侦探柯南:view_desc,1,BV1gv9yB1EQi,青山暗示酒厂还有卧底！,37672,143,16,11,85
tag:名侦探柯南:view_desc,1,BV1n3R5BCEbT,隐藏着对日本右翼的批判却鲜为人知——柯南贝克街的亡灵详细解读,32973,127,362,141,85
