标签名,标签ID,接口报告总稿件数,BV号,标题,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
名侦探柯南,8881,1000,BV1gdoTB7E2r,死刑犯只是看了新一，就发现他的与众不同,0,0,0,624,3546974945020755,战漫动漫社,1
名侦探柯南,8881,1000,BV1wNRWBzEWf,从此刻起，在小兰眼里江户川文代就是柯南的母亲了吧,1,0,0,225,1741698923,整贰两,1
名侦探柯南,8881,1000,BV1oE9bB3EcK,“毛利大叔，听说你最近缺钱？” “柯南，这双脚力增强鞋的开发经费，是我刚给博士打的款。” “小兰同学，别动手，让我的保镖……哦不，让我的钱来解决,0,0,0,30874,3546877697985089,星河漫迷,1
名侦探柯南,8881,1000,BV1g4RWBsEda,这些大妈真的把流量密码玩明白了,7,0,0,103,2142944945,方冠杰,1
名侦探柯南,8881,1000,BV1DtRWBXEr8,名侦探柯南（新名侦探柯南） op28 As the Dew（譬如朝露）GARNET CROW 主题曲片头曲28 日文日配日语数码修复版1080P高清新创华新片源,6,0,0,116,1084492470,动画配制侦探团,1
名侦探柯南,8881,1000,BV11iRWB7EHX,柯南主线讲解第113期——108卷混沌篇的收场，不止是玛丽的身份被曝光，还有安室透的下一次登场，所以这也是为何安室透已经有一段时间没有登场了,6,0,0,320,351904314,Vladmir熙,1
名侦探柯南,8881,1000,BV1Q4RWBWEwy,柯南中奇葩追寻恋爱的方式,4,0,0,89,1308285353,杰丶方,1
名侦探柯南,8881,1000,BV1QsRWBREhY,【名侦探柯南】朋友被绑架做人质后反应，兰的做法和哀的做法,246,1,1,49,515483337,情绪不定的小仔仔,1
名侦探柯南,8881,1000,BV1ShRWBDE1t,名侦探柯南（新名侦探柯南）op29 SUMMER TIME GONE（夏日已逝）仓木麻衣 主题曲片头曲29 日文日配日语数码修复版1080P高清新创华新片源,7,0,0,116,1084492470,动画配制侦探团,1
名侦探柯南,8881,1000,BV1ojRWBcE7x,A1银合收恶鬼保平安,5,0,0,412,3494376858716278,无尽大火,1
名侦探柯南,8881,1000,BV1oVRWBAEqr,名侦探柯南 柯南&小兰 池袋阳光见面会现场#名侦探柯南:高速公路的堕天使一分钟精选视频扶持计划一人安利一部动漫,17,1,0,37,1843751847,少年小兰姐姐,1
名侦探柯南,8881,1000,BV1ccRHBeEtE,名侦探柯南  苍蓝宝石的轮舞曲〖安德尔的监狱〗（一）,3,0,0,3040,13488544,黑籽W,1
名侦探柯南,8881,1000,BV1oVRHBsEKW,名侦探光之美少女14,21,0,0,1727,1036376455,犬饲大友,1
名侦探柯南,8881,1000,BV1RjRHBpE5X,【憨憨の傻鱼】第一支视频求三连！,1,0,0,25,456822599,憨憨の傻鱼,1
名侦探柯南,8881,1000,BV1HoREBbEpf,柯南新编,1,0,0,19,3706978826193448,派趣,1
名侦探柯南,8881,1000,BV1ccRJBdEub,A1银合帮助谷田村致富,11,0,0,365,3494376858716278,无尽大火,1
名侦探柯南,8881,1000,BV1KmREBvEPP,柯南和小哀决斗,220,0,0,49,270870421,变大的梦想,1
名侦探柯南,8881,1000,BV1GLRJBjE4q,一步一步走过昨天我的孩子气 #工藤新一,29,0,0,35,3546918183504421,青山剛圣,1
名侦探柯南,8881,1000,BV1iURJBXEVi,柯南&小兰 池袋阳光见面会,89,1,0,63,3461575971179332,柯学馆,1
名侦探柯南,8881,1000,BV1eRRJBUECP,平价灰原哀痛耳机分享吃谷人的电子吧唧 灰原哀痛耳机来啦！！！本来对200以下的耳机没什么期待的,0,1,0,76,3546829415254475,希美咸,1
名侦探柯南,8881,1000,BV1JzRBBkEN3,真相—只有一个,164,0,0,81,1902493396,AIhzhz,2
名侦探柯南,8881,1000,BV1vzR1BREEc,“主角的人，反派的气场”,7,0,0,23,3546621893675611,熊出没-WZN,2
名侦探柯南,8881,1000,BV1zkRJBoEsJ,浦思青兰念名字台日配对比,26,0,0,93,324192721,工藤ヘ小森,2
名侦探柯南,8881,1000,BV1WERnBAETn,哀酱,21,0,0,1266,1797002362,谢荔梅,2
名侦探柯南,8881,1000,BV1wERnBPEvN,《葬送的芙莉莲》 发布2026年工藤新一（江户川柯南）生日贺图,133,1,0,12,107840321,幽湳浔,2
名侦探柯南,8881,1000,BV18cRnByECS,NO.10 怪盗基德：给大家来个福利，2棒推荐,4,0,0,27,1841962407,学不来那自信,2
名侦探柯南,8881,1000,BV1VoRJBEEtL,听灰原哀唱一首《那时候的我》/“你也偶尔会怀念那时候的自己吗”,636,11,0,226,149919470,你好我叫冷咖啡,2
名侦探柯南,8881,1000,BV1QZRJB2Enb,名侦探柯南第90集：悲剧版《白鹤报恩》的民间传说,32,0,0,210,44623713,洛克Max,2
名侦探柯南,8881,1000,BV1tKRnB3ELL,灰原哀VS毛利兰,293,4,0,57,270870421,变大的梦想,2
名侦探柯南,8881,1000,BV1DARnBVEKR,柯南剧场版M29各地区上映日期,579,3,0,14,3546635711810352,柯资探,2
名侦探柯南,8881,1000,BV1SPRnBkEzL,奇怪的教程又增加了 # 搞笑 # 离谱 # 柯南,73,0,0,24,47196961,vividly娱乐,2
名侦探柯南,8881,1000,BV1TaRyBrEbn,新兰万岁！,53,0,0,14,3706952045562279,MINYANROXI,2
名侦探柯南,8881,1000,BV18tRyB5ERW,翻唱｜雪どけのあの川の流れのように-三枝夕夏,22,4,0,80,341538484,爱丽森森子,2
名侦探柯南,8881,1000,BV1meRyBgEHL,当半个回合之后，小兰还没被切,7,0,0,10,3546965960820783,冰川与熔岩,2
名侦探柯南,8881,1000,BV1YJRyBSEhP,基德再次偷走了我的心,24,1,0,13,3546943659706642,KlD酱,2
名侦探柯南,8881,1000,BV1LLRyBpEmA,世良好萌好可爱呀,204,1,0,47,1712198881,江南花奈,2
名侦探柯南,8881,1000,BV1vjRyBQE9u,谁能不爱骑着滑板救场的柯南呢,696,1,0,32,1299173982,一期一会_anthony,2
名侦探柯南,8881,1000,BV1gxRyB1EDi,谢谢观看～黑羽快斗【怪盗基德】出场费交一下（doge）,15,0,0,35,3546697655388569,贫血重度依赖冰块,2
名侦探柯南,8881,1000,BV13xRyB1EFh,论他们班上新兰党的数量,75,0,0,22,514900657,魇雷花缢龘鬿聻,2
名侦探柯南,8881,1000,BV19HRyBEEp4,抱歉我这个水印挡住了小哀的脸～「少年蒸蛋团」,27,0,0,17,3546697655388569,贫血重度依赖冰块,2
名侦探柯南,8881,1000,BV1DKR1B7EGK,“管世界正剧闹剧，要一起演得尽兴”,483,25,1,241,24444026,漓梦tsubomi,3
名侦探柯南,8881,1000,BV1VHRyBEE7b,「柯哀cb向」是友情 不是爱情,30,1,0,20,3546697655388569,贫血重度依赖冰块,3
名侦探柯南,8881,1000,BV1apRyBmEkm,平新CP「有点鬼畜 我喜欢就行了」,72,0,0,14,3546697655388569,贫血重度依赖冰块,3
名侦探柯南,8881,1000,BV17HoMB8EBx,一口气看完《柯南：给琴酒逆天改命！》！穿越柯学世界沦为弃婴，绝境之中被琴酒救下。从此她一心守护这位冷面杀手，凭借逆天手段改写琴酒悲惨宿命，冲破必死结局。背靠黑衣,84,0,0,40830,3546929797532203,天方漫谈,3
名侦探柯南,8881,1000,BV17QRyBZEWq,【𝟰𝗞𝟲𝟬𝗛𝗶𝗥𝗲𝘀】 和风神曲！渡月桥～思君～ MV 仓木麻衣 中日双语附罗马音 名侦探柯南 渡月橋 〜君 想ふ〜 20170412,700,0,0,245,13001226,4K音楽館,3
名侦探柯南,8881,1000,BV1EQRyBZEcN,高山みなみ さん   生日快乐江戸川コナンを演じる 高山みなみさんのお誕生日·,67,1,0,36,549916462,樱花树下的叮当猫,3
