标签名,标签ID,接口报告总稿件数,BV号,标题,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
松田阵平,55247,793,BV12XRFBEEBb,自M26开始 哀和直美在剧场版一直保持联络,418,1,0,119,16219537,絶対女王,1
松田阵平,55247,793,BV1tAREBvEJQ,看完M29的人能反馈一下感想吗 和前面几部相比,142,1,0,63,16219537,絶対女王,1
松田阵平,55247,793,BV1bRRVBsETX,“我提笔不为离愁，只为你转身回眸”,1102,4,48,32,354602679,空明流光moonlight,1
松田阵平,55247,793,BV1xXRuBgEoH,【朋友收集×名柯】别再演三角恋剧情了,443,5,2,57,835876,苍白妄想,1
松田阵平,55247,793,BV1ibo9BHEyh,【谷子整理收纳】吧唧篇7.0,235,0,0,995,47958495,沉迷磕CP的瑛子,1
松田阵平,55247,793,BV1d8o9BDEph,【谷子整理收纳】纸片篇2.0,195,0,0,356,47958495,沉迷磕CP的瑛子,1
松田阵平,55247,793,BV1TNRTBvEXf,谨以此视频献给松田阵平和萩原研二！,746,7,1,806,1929067379,打烊4869,1
松田阵平,55247,793,BV1Q89hBrEXJ,V3 高清 标题logo经典开场白《名侦探柯南：高速公路的堕天使》,3825,25,0,174,3493103927298688,恰逢蝉鸣起,1
松田阵平,55247,793,BV1e49kBVExM,名柯中最意难平的白月光！,273,2,0,113,249179977,白给阿太,1
松田阵平,55247,793,BV13WomBaEqc,柯南M29角色原画册 高速公路之书,447,2,0,47,16219537,絶対女王,1
松田阵平,55247,793,BV16Ko1BKE5y,V2 清晰 标题logo经典开场白《名侦探柯南：高速公路的堕天使》,2697,13,2,174,3493103927298688,恰逢蝉鸣起,1
松田阵平,55247,793,BV1HGo6BdE2D,这么可爱真是抱歉啦！,840,8,1,18,3546727502056278,IM-云,1
松田阵平,55247,793,BV1ZroXBWE9g,柯南M29《高速公路的堕天使》回归经典开场白,1355,7,0,195,16219537,絶対女王,1
松田阵平,55247,793,BV1EPoRBtEbG,V1 标题logo经典开场白《名侦探柯南：高速公路的堕天使》,8131,64,28,188,3493103927298688,恰逢蝉鸣起,1
松田阵平,55247,793,BV1spoDBfEfG,柯南M29高能 千速飙车冲天 M25和28情节融合,1460,5,0,246,16219537,絶対女王,1
松田阵平,55247,793,BV1B3oVBrEVn,五人组的极致浪漫,424,3,1,39,19307365,Tina拗不过-分层开采,1
松田阵平,55247,793,BV1cQobB8E2P,名柯最强白月光——松田阵平!,1042,1,0,17,690083009,寅寅狗狗-你发图我画,1
松田阵平,55247,793,BV1FzonBiE71,近期国现收物开箱（刚换华为没想到反转视频会尺幅缩水只好竖版了）,348,0,0,806,92814139,想喝黑麦威士忌,1
松田阵平,55247,793,BV1rgd1BBE6F,[中字]新闻-柯南M29票房破63亿｜连续两周位居榜首,1867,15,0,39,702964214,少卿大理寺,1
松田阵平,55247,793,BV14Td4BZEUi,【ニコカラ/KTV字幕】ラストダンスあなたと(与你最后的舞蹈《名侦探柯南剧场版29：高速公路的堕天使》/MISIA主题曲),1001,14,0,428,10077309,楚子鵷,1
松田阵平,55247,793,BV1XQdWBcEZW,【剧场版/特别映像】名侦探柯南M29：高速公路的堕天使「人气爆火PV」(萩原研二＆松田阵平) （中字）,315,13,0,62,39811731,阿库娅桑,2
松田阵平,55247,793,BV1YzdLBTELZ,【萩松】Scheiße meme,413,3,0,17,419616889,康儿KANG,2
松田阵平,55247,793,BV1nFdjBXEkT,[中字]柯南M29 萩原研二&松田阵平语音｜大热上映PV,1476,4,0,35,702964214,少卿大理寺,2
松田阵平,55247,793,BV1CodLBREKx,松田和研二在天上祝贺千速的M29,200,1,0,31,16219537,絶対女王,2
松田阵平,55247,793,BV1JNdjBJEDS,柯南M29高速公路的堕天使 超人气大卖PV,2163,11,0,31,417121751,柯研所DCI,2
松田阵平,55247,793,BV1zAdjBDE9x,柯南M29 松田阵平&萩原研二 特别PV,903,2,0,31,11972834,Mai_way,2
松田阵平,55247,793,BV1SKDXBdEhR,怪盜基德₊⊹𝜗ৎ白馬探꩜｡⋆.松田陣平｜愿收出物不再遇到疯子૮꒰ •͈ ·̭ •͈ ꒱ა,587,4,1,85,570407729,Dairenesy-rua,2
松田阵平,55247,793,BV1trQnBiEQF,[リレイアウター|中继输出者]松田阵平中心向,43,0,0,40,3546846697883918,好想做个好梦啊,2
松田阵平,55247,793,BV1j8QeBHEfu,【松田阵平】拽酷温柔，刻在骨子里的帅,1188,7,0,116,19307365,Tina拗不过-分层开采,2
松田阵平,55247,793,BV1qcQhByERz,M29当年千速得知弟弟殉职有撕心裂肺哭出来吗,9167,17,1,80,16219537,絶対女王,2
松田阵平,55247,793,BV1EeQbBGEqH,“松田阵平是多少人的意难平啊”,600,0,0,40,59759400,柯笔动漫,2
松田阵平,55247,793,BV1V4DyB3EMo,怪盜基德.☘︎˖白馬探｜tcg卡牌開箱｜如果你知道20几盒车最高卡位是一张mr你也会同情我૮₍⑅ ⌯́⌓⌯̀₎ა,647,5,2,48,570407729,Dairenesy-rua,2
松田阵平,55247,793,BV1U7D1BKErs,千速与世良 田中若能撑到现在就算母女另类同框,337,1,0,17,16219537,絶対女王,2
松田阵平,55247,793,BV1oiDCB5Eey,我去不早说,83,2,0,14,3546571643815941,感感感感感冒零,2
松田阵平,55247,793,BV1mhQABJER4,剧透｜柯南M29首映：17点剧情总结+谷子实拍，你想知道的都在这了！,6572,28,116,427,276167390,胖胖聊科技-京都,2
松田阵平,55247,793,BV1vdQABAE9r,看柯南M29前 先了解主要人物生平,249,1,0,330,16219537,絶対女王,2
松田阵平,55247,793,BV1nHQwBqEtf,柯南M30预告伦敦与新兰&M29场刊及部分剧透,1867,6,0,152,16219537,絶対女王,2
松田阵平,55247,793,BV1i4DxBtEH2,【柯南与日剧】梦开始的地方：早见淳登场！萩原健一VS水谷丰！,1132,10,1,610,369691411,Vermouth_小贝,2
松田阵平,55247,793,BV1qWDZBSEYj,柯南剧场版M29《高速公路的堕天使》新预告,3815,44,0,31,417121751,柯研所DCI,2
松田阵平,55247,793,BV1xPDZBYEKU,[中字]柯南M29 上映日宣传,1862,11,0,35,702964214,少卿大理寺,2
松田阵平,55247,793,BV12WDsB6EEJ,[中字]柯南M29 入门篇主要角色介绍,3270,39,6,330,702964214,少卿大理寺,3
松田阵平,55247,793,BV16HDEBmEog,柯南M29 高速公路的堕天使 入门篇,288,0,0,330,11972834,Mai_way,3
松田阵平,55247,793,BV1sUD5BCEp8,柯南M29上映倒计时,192,0,0,77,1621939403,高速公路的残像,3
松田阵平,55247,793,BV1yUD5BCEXM,柯南M29角色PV丨萩原研二&松田阵平,1005,1,0,15,1200160937,Ultra森涛,3
松田阵平,55247,793,BV1pRD5BzE1S,柯南剧场版M29倒计时5天预告,2292,19,0,15,417121751,柯研所DCI,3
松田阵平,55247,793,BV1CMDGBAEoK,【4K/中字】柯南M29《高速公路的堕天使》上映前最终预告放出！大量新画面！上映前终极预告！,40482,155,35,126,45053576,QG柯南,3
松田阵平,55247,793,BV1kMDGBAEmj,[中字]柯南M29倒计时DAY5预告——松田阵平&萩原研二,1312,5,0,15,702964214,少卿大理寺,3
松田阵平,55247,793,BV1yNDGBNEVX,【柯南M29上映倒计时】✧𓆩萩原研二 ┋ 松田阵平𓆪✧,493,0,0,211,11972834,Mai_way,3
松田阵平,55247,793,BV1Bb9NBjE35,【警五】清明,958,30,0,27,89809236,下个世界副本见,3
松田阵平,55247,793,BV1taDMBcEHd,柯南M29新PV+M30柯南不在！？,7881,52,0,187,11972834,Mai_way,3
松田阵平,55247,793,BV1q5DMBkEwr,柯南剧场版M29《高速公路的堕天使》2分钟预告,738,4,0,121,272491659,絶対女王無,3
松田阵平,55247,793,BV157DMBrEoA,【中字】柯南M29「高速公路的堕天使」120s预告公开,2368,44,0,121,702964214,少卿大理寺,3
松田阵平,55247,793,BV1ArQZBwEb3,其实我一直都不喜欢警校五人组,14512,131,76,893,3493130684860772,辛迪DevilCindy,3
松田阵平,55247,793,BV1gX9EBMEiy,【名侦探柯南万圣节的新娘~点播reaction】为了警校组包了这顿饺子，剧情一言难尽,1983,2,2,6378,95698,糟糕的貓貓,3
松田阵平,55247,793,BV14L9jBRE7L,松田阵平,437,2,0,58,3546715357448876,赫梦中游,3
松田阵平,55247,793,BV1EPX8B2EN3,[中字]柯南M29公开纪念「动作场景篇」|主旋律片段试听！,4766,17,2,304,702964214,少卿大理寺,3
松田阵平,55247,793,BV1HsXHBcEPZ,[中字]柯南M29公开纪念「主要角色篇」|主旋律片段试听！,5178,21,0,299,702964214,少卿大理寺,3
松田阵平,55247,793,BV1gMQSBQEnG,白月光,181,3,0,19,3546840811178402,林恒猫猫,3
松田阵平,55247,793,BV1NFQzB7Enq,【Matsuda陣平酱】墨松,22,0,0,16,492246824,Matsuda陣平酱,3
松田阵平,55247,793,BV1tnAGzMEvE,“事已至此，请你们尽情活在我的世界里吧”,8038,88,2,234,873181,洛丹,3
松田阵平,55247,793,BV1PgwXz5EaZ,開箱｜⊹₊⋆毛利蘭‎˖ִ 𖤐𐙚｜26戰國𓏵中華廚房,1205,22,5,70,570407729,Dairenesy-rua,4
松田阵平,55247,793,BV1oWP9zgEj6,柯南剧场版M29即将上映！名侦探柯南:高速公路的堕天使  最终预告cut,1182,4,0,32,3461575971179332,柯学馆,4
松田阵平,55247,793,BV1CePCzXENc,【爆处组】松田警官收到了奇怪的手机/tell me,2438,14,1,19,554381190,回_ovo,4
松田阵平,55247,793,BV1XDAdziEMF,【4K/中字】柯南M29《高速公路的堕天使》IMAX&杜比影院&4D特殊版本预告,3316,14,0,43,45053576,QG柯南,4
松田阵平,55247,793,BV1pbAdzQEca,[中字]柯南M29特别制式预告,3216,10,1,43,702964214,少卿大理寺,4
松田阵平,55247,793,BV1HhAdznE5W,【柯南M29多版本上映预告】IMAX・MX4D・4DX・DolbyCinema,493,2,0,41,11972834,Mai_way,4
松田阵平,55247,793,BV15gPuzGEvK,【松田阵平】收物合集 第一弹,37,1,0,178,47958495,沉迷磕CP的瑛子,4
松田阵平,55247,793,BV1wuA1zRE8A,名侦探柯南×CarSensor 二手车平台联动CM,2092,4,1,61,702964214,少卿大理寺,4
松田阵平,55247,793,BV1zCfYBuEar,M29又要原创小兰被绑架了，接下来的剧情发展基本上都能猜到了…,2230,17,0,39,668727289,阴晴不定的官配党,4
松田阵平,55247,793,BV1dLfUBkEJP,【名侦探柯南手书】爆处组的晚聚焦点,1096,8,0,184,835876,苍白妄想,4
松田阵平,55247,793,BV1QCfBBCE6s,剧场版《名侦探柯南：高速公路上的堕天使》官方预告片,41,0,0,91,3461575971179332,柯学馆,4
松田阵平,55247,793,BV1CsfMB5Ekv,[中字]新闻—柯南M29主题曲歌手MISIA公布！！,10129,40,1,99,702964214,少卿大理寺,4
松田阵平,55247,793,BV1U5fKBVE6F,【4K/中字】柯南M29《高速公路的堕天使》90s终极预告公开！MISIA演唱「与你的最后一舞」！,22603,105,6,94,45053576,QG柯南,4
松田阵平,55247,793,BV1DKfKBUEnM,名侦探柯南m29高速公路的堕天使90秒预告,655,1,0,91,372246526,凌空之宇,4
