视频标题,BVID,分P序号,弹幕内容
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,jinpei我爱你啊啊啊啊啊啊啊
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田太好康了！！！！！！！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田松田松田！！！！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田！！！！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,佐藤美和子进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,哇这个质感不错诶
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田真的白月光
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田我可以
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,这个模型也太好看了吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,【萩原研二】进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,看我发现了什么！！！！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,承包空屏
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田我爱了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,安室 景光 伊达进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,松田！！！！！！！！！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,啊啊啊啊啊啊帅炸了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,萩原研二进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,老公！你腿好长！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,马自达酱！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,老婆快让我亲亲！！！！
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,“你今晚有空吗”
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,你打来电话问道
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,你喜欢的麝香 与香甜的秘密交织
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,我已等待许久
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,这周末的夜晚
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,今晚来成为大人物吧 成为我的一切
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,啊～好喜欢这股冲动
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,那么来看看我的传家宝刀吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,迈向王道吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,「啊…好像有点喝醉了♡」
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,看穿一切 别再装作淡定了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,猜透一切 让我最喜欢你吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,来吧 快带上我一起走吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,在这近在眉睫的距离下
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就连思绪也被剥夺而去
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,不断寻踪觅迹
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就像是说出了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,不符合时宜的话一般
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就用亲吻来堵住吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,我只是有点欲求不满
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,多余的东西 就别胡思乱想了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,现在来尽情跳舞吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,啪塔啪塔啪 咚哔咚哔咚
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就像电影落幕时的职员表一样
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,背上的伤痕 衬托出陈年往事 细数着
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就这样装作醺醉昏睡 良宵之夜逐渐天明
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,太过完美反而不是件好事…什么的
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,什么的，别总说我坏心眼
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,还相差甚远 这就是真爱
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,让我喜欢你吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,来吧 快带上我一起走吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,在这只需微热就能熔解的距离下
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就连思绪也被剥夺而去
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,将其贯彻到底
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就像是说出了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,不符合时宜的话一般
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,来堵住耳朵吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,时间与呼吸在此刻一同停止
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,成为我存在于此的意义吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,不需要什么未来
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,着眼于当下的我吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,我只是有点朝思暮想
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,让我喜欢你吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,来吧 快带上我一起走吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,在这近在眉睫的距离下
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就连思绪也被剥夺而去
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,不断寻踪觅迹
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就像是说出了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,不符合时宜的话一般
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就用亲吻来堵住吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,光鲜亮丽地点缀装饰吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,忘掉我刚才说的
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,仿佛要照亮这世界般
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,其实 不要忘记
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,充盈的体温 直至最后
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,请不要忘记 有生之年
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,就用亲吻来堵住吧
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,我还不想回家
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,但我不得不回
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,因为他回来了
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,施工完毕～松田酱的每一步都踩在我心上dokidoki
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,开始施工～翻译选自网易云Eachoo_
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,嗷嗷嗷嗷嗷
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,好涩
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,江莱进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,传家宝刀
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,马自达酱!!!
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,前面那个江莱的哈哈哈哈哈哈哈
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,花田早春奈进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,佐川涉进入直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,鬼冢教官默默退出了直播间
【MMD名侦探柯南】松田阵平的  [ Gimme  x  Gimme  ],BV16741177yh,1,降谷零进入
