视频标题,BVID,分P序号,弹幕内容
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,没有人能拒绝赤井秀一
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,不愧是我老公
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,秀一太帅了
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,我爱秀一
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,赤井秀一！！！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一赤井秀一！！！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,没人能够拒绝赤井！！！爷老公！！！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,首页通知书
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,猫哥可爱，赤井帅气
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,好帅
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,冲冲冲
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,想起和亲妹妹互殴片段
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,秀一主场！！！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,这个镜头是第几集呀？
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,他还是那么帅欸嘿嘿
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,老公！！！！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,秀真的对得起他的名字 太秀了
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,我爱他啊啊啊
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,帅气！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,好帅
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,赤井爱了爱了
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,32岁成熟男人的魅力
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,永远的神
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,阿卡伊我的神
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,秀一我老公
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,cool
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,这币不要也罢！！！！！！
【赤井秀一\冲矢昴】“他狙的不是别人，是我的心啊！！进来看顶级Alpha的Bking瞬间！”|高燃踩点混剪|GRRRLS,BV1he411g7Y7,1,老公老公好帅啊啊啊啊啊啊啊
