标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
朱蒂老师,3009465,BV1EVQUB8Ete,我又美又飒的朱蒂老师,1774449096,2026-03-25 22:31:36,681,1,0,61,1280060862,ckjqkyj自制AI绘画壁纸,1
朱蒂老师,3009465,BV1SJcozfEiW,兄弟们当时在看满月篇的那个时候你们难道都没有被绕晕，如果你们没有被绕晕那！证明你们真的看懂了柯南。,1773204161,2026-03-11 12:42:41,1493,14,0,999,1118874356,唱歌的人鬼神,1
朱蒂老师,3009465,BV1NUz9BoEeN,茱蒂老师：小妹妹，快快把门打开,1769658420,2026-01-29 11:47:00,387,1,0,57,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1sbrHBMEu9,茱蒂老师：你说话的口音也很怪,1768359919,2026-01-14 11:05:19,695,2,0,44,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1CjrPBpECw,朱蒂老师：我的日语是卡梅尔教的,1767960000,2026-01-09 20:00:00,248,0,0,43,603957115,芳心灭火器儿,1
朱蒂老师,3009465,BV1sVrwB2EN7,茱蒂老师：对啊，我太投入了,1767929082,2026-01-09 11:24:42,712,2,0,45,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1PkvpBdEHb,茱蒂老师日常吓小柯,1766982143,2025-12-29 12:22:23,814,2,0,41,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1fAm7BcEU1,赤井秀一还挺仁义的,1765508718,2025-12-12 11:05:18,1230,4,0,150,388733839,dingdongdeng,1
朱蒂老师,3009465,BV17Hm5BHEMa,柯导势在必得,1765507021,2025-12-12 10:37:01,1832,2,0,146,388733839,dingdongdeng,1
朱蒂老师,3009465,BV19GmKBsEvk,茱蒂老师的巅峰演技时刻⑤,1765424830,2025-12-11 11:47:10,203,1,0,30,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1FH22BmExB,朱蒂老师跳日本舞,1765220603,2025-12-09 03:03:23,5630,7,0,232,396944417,驯兽师阿飞,1
朱蒂老师,3009465,BV16Yy7BfEGw,柯南穿女装拉安室透的手暗示朱蒂老师，他是0,1763509617,2025-11-19 07:46:57,2561,2,0,92,388733839,dingdongdeng,1
朱蒂老师,3009465,BV1H9CYBqEuC,茱蒂老师的巅峰演技时刻,1763352300,2025-11-17 12:05:00,102,0,0,84,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1xJy4B8Eap,最喜欢讲英文的朱蒂33啦,1761793251,2025-10-30 11:00:51,175,0,0,48,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1bCxczAEqw,朱蒂老师：No problem!,1761449816,2025-10-26 11:36:56,56,1,0,29,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV175sezMEXB,朱蒂老师：你好像有双重人格喔,1761188435,2025-10-23 11:00:35,84,0,0,39,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1BN4hzeErG,朱蒂33：我还拍了一大堆的照片~,1760497205,2025-10-15 11:00:05,90,1,0,60,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1cD45zfE1m,酷酷的特工朱蒂,1760065203,2025-10-10 11:00:03,57,1,0,52,2139079172,ValerieYeoh,1
朱蒂老师,3009465,BV1g6xWzeEMR,摘下眼镜的朱蒂33,1759551367,2025-10-04 12:16:07,204,4,0,51,2139079172,ValerieYeoh,1
