标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
松田阵平,55247,BV14Td4BZEUi,【ニコカラ/KTV字幕】ラストダンスあなたと(与你最后的舞蹈《名侦探柯南剧场版29：高速公路的堕天使》/MISIA主题曲),1776536484,2026-04-19 02:21:24,542,12,0,428,10077309,楚子鵷,1
松田阵平,55247,BV1XQdWBcEZW,【剧场版/特别映像】名侦探柯南M29：高速公路的堕天使「人气爆火PV」(萩原研二＆松田阵平) （中字）,1776522078,2026-04-18 22:21:18,198,13,0,62,39811731,阿库娅桑,1
松田阵平,55247,BV1YzdLBTELZ,【萩松】Scheiße meme,1776439351,2026-04-17 23:22:31,192,2,0,17,419616889,康儿KANG,1
松田阵平,55247,BV1nFdjBXEkT,[中字]柯南M29 萩原研二&松田阵平语音｜大热上映PV,1776436965,2026-04-17 22:42:45,1118,4,0,35,702964214,少卿大理寺,1
松田阵平,55247,BV1CodLBREKx,松田和研二在天上祝贺千速的M29,1776436414,2026-04-17 22:33:34,144,1,0,31,16219537,絶対女王,1
松田阵平,55247,BV1JNdjBJEDS,柯南M29高速公路的堕天使 超人气大卖PV,1776436231,2026-04-17 22:30:31,1862,10,0,31,417121751,柯研所DCI,1
松田阵平,55247,BV1zAdjBDE9x,柯南M29 松田阵平&萩原研二 特别PV,1776435422,2026-04-17 22:17:02,734,2,0,31,11972834,Mai_way,1
松田阵平,55247,BV1SKDXBdEhR,怪盜基德₊⊹𝜗ৎ白馬探꩜｡⋆.松田陣平｜愿收出物不再遇到疯子૮꒰ •͈ ·̭ •͈ ꒱ა,1776421800,2026-04-17 18:30:00,491,4,1,85,570407729,Dairenesy-rua,1
松田阵平,55247,BV1trQnBiEQF,[リレイアウター|中继输出者]松田阵平中心向,1776255841,2026-04-15 20:24:01,34,0,0,40,3546846697883918,好想做个好梦啊,1
松田阵平,55247,BV1j8QeBHEfu,【松田阵平】拽酷温柔，刻在骨子里的帅,1776245400,2026-04-15 17:30:00,770,5,0,116,19307365,Tina拗不过-分层开采,1
松田阵平,55247,BV1qcQhByERz,M29当年千速得知弟弟殉职有撕心裂肺哭出来吗,1776097800,2026-04-14 00:30:00,5093,14,1,80,16219537,絶対女王,1
松田阵平,55247,BV1EeQbBGEqH,“松田阵平是多少人的意难平啊”,1776082958,2026-04-13 20:22:38,394,0,0,40,59759400,柯笔动漫,1
松田阵平,55247,BV1V4DyB3EMo,怪盜基德.☘︎˖白馬探｜tcg卡牌開箱｜如果你知道20几盒车最高卡位是一张mr你也会同情我૮₍⑅ ⌯́⌓⌯̀₎ა,1775989800,2026-04-12 18:30:00,582,5,2,48,570407729,Dairenesy-rua,1
