标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
伊达航,279569,BV1zh4y1f7oh,几个小伙子怎么可以帅成这个样子,1689257249,2023-07-13 22:07:29,423,4,0,13,1488071027,汐是满天星,1
伊达航,279569,BV1WW4y1T7uc,警校五人组的漫长岁月（三）,1671308790,2022-12-18 04:26:30,134,1,0,4044,8329250,七大王,1
伊达航,279569,BV16YmNYkEw9,终究还是只剩了一个人,1729130400,2024-10-17 10:00:00,210,2,0,38,629116029,沐1218,1
伊达航,279569,BV1AY4y1R7TQ,『cos道具系列』柯学的八颗蛋,1678669233,2023-03-13 09:00:33,5395,46,5,93,11964391,甘枕落,1
伊达航,279569,BV1fG1FBVEoa,【MMD柯南/警校组】Blender,1762087750,2025-11-02 20:49:10,1179,7,1,142,1578771556,礼濑真宵-Official,1
伊达航,279569,BV11VtrepEAa,【熟】萩原是天才？！PICO PARK 2【名侦探柯南警校组声真似】【with白马】,1726892877,2024-09-21 12:27:57,9018,14,29,600,279438578,kashin_0,1
伊达航,279569,BV1i841197qX,篇章结束了，故事未完,1693119600,2023-08-27 15:00:00,264,12,0,13,1348890091,名柯-实教-高木,1
伊达航,279569,BV1QW4y1T7wb,伊达航永远在保护他们,1671620383,2022-12-21 18:59:43,3791,2,0,172,1912092940,木子朝暮,1
伊达航,279569,BV17MHGekEcX,【警校组×SAKURA】与你在春天许下的愿望，仍牢记在我心中...,1724985652,2024-08-30 10:40:52,7448,11,1,356,3546625062472444,我不大丈夫了,1
伊达航,279569,BV1TZs2z4EHu,108警五11城cafe重庆场volg（划掉）物料开箱,1761559200,2025-10-27 18:00:00,765,4,0,85,8348517,Yoong_碳酸水,1
伊达航,279569,BV1n84y1k7fk,（台配版）（1）高木的前辈，警校五人组之一，伊达航国语配音,1669883065,2022-12-01 16:24:25,805,10,0,87,321062881,名侦探柯南之限定月读,1
伊达航,279569,BV1Y3vAzPEdP,【4K请不要带我走×警校组】“不要带我走，走到泪干涸”,1756199887,2025-08-26 17:18:07,3084,7,1,127,3461575753075654,Wilkomeda,1
伊达航,279569,BV1bWMfznE8g,“但我更想跟你们一起啊”,1752372873,2025-07-13 10:14:33,555,8,0,14,29056570,水果烧烤派派派派,1
伊达航,279569,BV1uM411W7uS,【警校五人组】【一番の宝物】心照不宣的默契、真挚感人的情谊，互相救赎的羁绊，与已逝的四人相处的时光，也是零最珍贵的宝物吧。,1678706402,2023-03-13 19:20:02,498,2,0,355,1379643,壹只黒貓,1
伊达航,279569,BV1sG4y1U76s,【绘画过程】元宵快乐！来五个汤圆吃吃吧_(:зゝ∠)_,1675577610,2023-02-05 14:13:30,1691,35,0,102,691889664,Hiiiragi_,1
伊达航,279569,BV1Ld4y1v7Py,【警校五人组】さだめ—first place,1671021417,2022-12-14 20:36:57,32481,112,39,301,3493087533861364,川川同学C,1
