标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
茱蒂,710626,BV1V4wxzmEFF,评分9.6！平次大秀英语之作！细节讲解柯南经典案件之一《英语老师VS关西名侦探》！！,1773481860,2026-03-14 17:51:00,152273,176,173,1062,107633687,97年的王长歌,1
茱蒂,710626,BV1dXwHzVELE,〖开箱〗拆点女孩子,1773449993,2026-03-14 08:59:53,214,2,1,114,3546827041278206,愛原aihara,1
茱蒂,710626,BV1wFP1zREuo,《丽英》疯狂动物城,1772730000,2026-03-06 01:00:00,1465,2,2,21,300798362,捌拾後聽歌指南,1
茱蒂,710626,BV1NUz9BoEeN,茱蒂老师：小妹妹，快快把门打开,1769658420,2026-01-29 11:47:00,387,1,0,57,2139079172,ValerieYeoh,1
茱蒂,710626,BV1sbrHBMEu9,茱蒂老师：你说话的口音也很怪,1768359919,2026-01-14 11:05:19,695,2,0,44,2139079172,ValerieYeoh,1
茱蒂,710626,BV1sVrwB2EN7,茱蒂老师：对啊，我太投入了,1767929082,2026-01-09 11:24:42,712,2,0,45,2139079172,ValerieYeoh,1
茱蒂,710626,BV1PkvpBdEHb,茱蒂老师日常吓小柯,1766982143,2025-12-29 12:22:23,814,2,0,41,2139079172,ValerieYeoh,1
茱蒂,710626,BV19GmKBsEvk,茱蒂老师的巅峰演技时刻⑤,1765424830,2025-12-11 11:47:10,203,1,0,30,2139079172,ValerieYeoh,1
茱蒂,710626,BV1H9CYBqEuC,茱蒂老师的巅峰演技时刻,1763352300,2025-11-17 12:05:00,102,0,0,84,2139079172,ValerieYeoh,1
茱蒂,710626,BV1xJy4B8Eap,最喜欢讲英文的朱蒂33啦,1761793251,2025-10-30 11:00:51,175,0,0,48,2139079172,ValerieYeoh,1
茱蒂,710626,BV1bCxczAEqw,朱蒂老师：No problem!,1761449816,2025-10-26 11:36:56,56,1,0,29,2139079172,ValerieYeoh,1
茱蒂,710626,BV175sezMEXB,朱蒂老师：你好像有双重人格喔,1761188435,2025-10-23 11:00:35,84,0,0,39,2139079172,ValerieYeoh,1
茱蒂,710626,BV1BN4hzeErG,朱蒂33：我还拍了一大堆的照片~,1760497205,2025-10-15 11:00:05,90,1,0,60,2139079172,ValerieYeoh,1
茱蒂,710626,BV1cD45zfE1m,酷酷的特工朱蒂,1760065203,2025-10-10 11:00:03,57,1,0,52,2139079172,ValerieYeoh,1
茱蒂,710626,BV1P1x9zkEBE,【名侦探柯南】秀一你错了一百公尺内拉窗帘更快，兰拉窗帘阻狙击和秀一肯定警方狙击手的能力,1759848770,2025-10-07 22:52:50,4765,30,12,161,515483337,情绪不定的小仔仔,1
茱蒂,710626,BV1g6xWzeEMR,摘下眼镜的朱蒂33,1759551367,2025-10-04 12:16:07,204,4,0,51,2139079172,ValerieYeoh,1
茱蒂,710626,BV19SnyzJEM7,这个朱蒂33也太温柔了叭,1759205597,2025-09-30 12:13:17,25,1,0,28,2139079172,ValerieYeoh,1
茱蒂,710626,BV1FRnuzFENT,朱蒂你真的是个很棒很棒的老师,1758858188,2025-09-26 11:43:08,282,2,0,36,2139079172,ValerieYeoh,1
茱蒂,710626,BV1YiWFzwEQ9,朱蒂老师这个“OKAY”好好听哦,1758420147,2025-09-21 10:02:27,247,1,0,24,2139079172,ValerieYeoh,1
茱蒂,710626,BV1JwpSzyE52,朱蒂33：来自英文老师的职业病,1758078036,2025-09-17 11:00:36,101,1,0,30,2139079172,ValerieYeoh,1
茱蒂,710626,BV16HpjzQEi2,"朱蒂老师：“对吧,达令~”",1757732217,2025-09-13 10:56:57,61,0,0,51,2139079172,ValerieYeoh,2
茱蒂,710626,BV1AUafzqEoV,好想吃朱蒂老师亲手切的水果哦,1757383221,2025-09-09 10:00:21,374,0,0,50,2139079172,ValerieYeoh,2
