标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
萩原研二,5726824,BV1Nne4zWEC6,【警校组声真似 with白马/生肉】みんなで仲良くR.E.P.O！,1756091123,2025-08-25 11:05:23,1691,12,19,4928,2158416,Murasame_Akari,1
萩原研二,5726824,BV1NZfPBTEh1,柯南M29剧场版《高速公路的堕天使》90秒预告 主题曲《和你的最后一舞》MISIA,1771794326,2026-02-23 05:05:26,1481,5,0,182,16219537,絶対女王,1
萩原研二,5726824,BV1hDJwzREMo,【警校组】绝对会被幼驯染包围的世界vs绝对没有幼驯染的男人,1747482733,2025-05-17 19:52:13,2755,21,2,65,179987980,Alpacava,1
萩原研二,5726824,BV1A5U5Y6E3q,hagi的发光卡套终于到货了！刷一下就亮，炫耀一下❤！,1731559791,2024-11-14 12:49:51,164,0,0,49,150613270,一一零七喵喵喵,1
萩原研二,5726824,BV1Zr84zPE4R,૮ ´͈ ᗜ `͈ ა♡,1753522584,2025-07-26 17:36:24,2056,5,0,13,2048406916,松田志平,1
萩原研二,5726824,BV1mMenzTEFf,【萩松|静画】天国での再会,1756052978,2025-08-25 00:29:38,2416,41,12,250,2147782,在下雨的阿雨,1
萩原研二,5726824,BV1usucztEjE,“你好 …许久不见的挚友”【名侦探柯南｜警校组】,1752385431,2025-07-13 13:43:51,504,4,0,167,16894604,兰兰兰兰兰阿,1
萩原研二,5726824,BV1XotKeKE6s,我不管幼驯染只是你们的借口,1726304972,2024-09-14 17:09:32,909,4,0,11,3546391917889773,格兰利威-,1
萩原研二,5726824,BV1ZznoeNEun,警校五人组,1725102439,2024-08-31 19:07:19,223,2,0,98,508994341,安联王子,1
萩原研二,5726824,BV1fsbwevEZd,警視庁警備部機動隊爆発物処理班              萩原研二,1726850738,2024-09-21 00:45:38,1620,3,0,21,219999060,又茗不是苦茗,1
萩原研二,5726824,BV19R2wBjEfe,【萩松】在那些和你错开的时间里,1762433272,2025-11-06 20:47:52,755,5,0,19,1498796127,某只鬼鬼祟祟的海豹,1
萩原研二,5726824,BV1Na4Jz7E3V,“抱歉了萩原…看样子我无法实现我们的承诺了”,1760088311,2025-10-10 17:25:11,561,4,0,22,3546916348496376,忧郁的碳酸饮料,1
萩原研二,5726824,BV1zNnqzTEAP,[萩松]理理我嘛,1759120190,2025-09-29 12:29:50,681,5,0,16,3546964654295783,Neo04240w0,1
萩原研二,5726824,BV1rtfKBeEEV,名柯M29《高速公路的堕天使》30s特报2,1771806929,2026-02-23 08:35:29,1142,0,0,30,3537118800382343,阿尔法A黑兵,1
萩原研二,5726824,BV1BHtNe3Ezm,【警察学校組声真似】PICO PARK 2【with白馬】,1726291824,2024-09-14 13:30:24,3957,16,26,6701,279438578,kashin_0,1
萩原研二,5726824,BV1o2eMzXEsE,手绘研二：2025年了，还有人记得他吗,1755675070,2025-08-20 15:31:10,1643,11,2,13,7421480,好奇怪的手绘-接定制,1
萩原研二,5726824,BV1cbgGzEEQR,幼驯染但爆处组,1753101830,2025-07-21 20:43:50,79,2,0,12,1150292132,卡慕慕是个大冤种的说,1
萩原研二,5726824,BV1QCfBBCE6s,剧场版《名侦探柯南：高速公路上的堕天使》官方预告片,1771858431,2026-02-23 22:53:51,40,0,0,91,3461575971179332,柯学馆,1
萩原研二,5726824,BV1bXfKB7EFR,【柯南M29】高速公路的堕天使 主题曲MISIA 90s+30s预告,1771802836,2026-02-23 07:27:16,1180,0,2,121,11972834,Mai_way,1
萩原研二,5726824,BV1qNsDzEEVA,29岁无所不能的安室透,1761581618,2025-10-28 00:13:38,1118,2,1,37,3546952524368329,黑泽琳,1
萩原研二,5726824,BV1sUD5BCEp8,柯南M29上映倒计时,1775355575,2026-04-05 10:19:35,182,0,0,77,1621939403,高速公路的残像,2
萩原研二,5726824,BV1yUD5BCEXM,柯南M29角色PV丨萩原研二&松田阵平,1775355523,2026-04-05 10:18:43,901,1,0,15,1200160937,Ultra森涛,2
萩原研二,5726824,BV1pRD5BzE1S,柯南剧场版M29倒计时5天预告,1775354599,2026-04-05 10:03:19,2251,19,0,15,417121751,柯研所DCI,2
萩原研二,5726824,BV1CMDGBAEoK,【4K/中字】柯南M29《高速公路的堕天使》上映前最终预告放出！大量新画面！上映前终极预告！,1775353821,2026-04-05 09:50:21,34363,149,32,126,45053576,QG柯南,2
萩原研二,5726824,BV1kMDGBAEmj,[中字]柯南M29倒计时DAY5预告——松田阵平&萩原研二,1775353794,2026-04-05 09:49:54,1195,5,0,15,702964214,少卿大理寺,2
萩原研二,5726824,BV1yNDGBNEVX,【柯南M29上映倒计时】✧𓆩萩原研二 ┋ 松田阵平𓆪✧,1775353180,2026-04-05 09:39:40,409,0,0,211,11972834,Mai_way,2
萩原研二,5726824,BV1Bb9NBjE35,【警五】清明,1775318400,2026-04-05 00:00:00,763,26,0,27,89809236,下个世界副本见,2
萩原研二,5726824,BV1taDMBcEHd,柯南M29新PV+M30柯南不在！？,1775290487,2026-04-04 16:14:47,7820,53,0,187,11972834,Mai_way,2
萩原研二,5726824,BV157DMBrEoA,【中字】柯南M29「高速公路的堕天使」120s预告公开,1775288684,2026-04-04 15:44:44,2332,44,0,121,702964214,少卿大理寺,2
萩原研二,5726824,BV1nqXqBMEkH,我正在慢慢忘掉你的脸……,1774925771,2026-03-31 10:56:11,456,5,0,28,3546969593088979,哀のMelody,2
