标签名,标签ID,BV号,标题,发布时间戳,发布时间_ISO8601_北京时间,播放量,评论数_reply,弹幕数,时长秒,UP主MID,UP主昵称,页码_抓取时
詹姆斯布莱克,18197529,BV1S24y1e7M1,我收集的,1673333392,2023-01-10 14:49:52,12,0,1,60,3493084191000649,灯笼昊希,1
詹姆斯布莱克,18197529,BV19d4y1f7Uy,柯南里知道柯南身份的角色，如何发现他身份原来还大有来头,1684020648,2023-05-14 07:30:48,30,0,0,253,3493143492168502,福啾啾俚顾揽,1
詹姆斯布莱克,18197529,BV1Js421N7d4,【酒厂扯淡】最后的詹黑论——脑洞詹姆斯如何担得起莫里亚蒂之名,1715517444,2024-05-12 20:37:24,4182,53,10,2392,357430013,伊耿坦格利安六世,1
詹姆斯布莱克,18197529,BV1bKhmzkEig,悲报！【名侦探柯南】詹姆斯布莱克二代声优去世,1756388431,2025-08-28 21:40:31,4349,30,1,12,1344754054,新兰咖喱酱,1
詹姆斯布莱克,18197529,BV1g54y1s7jX,【名侦探柯南】盘点知道小哀身份的人,1611072696,2021-01-20 00:11:36,795,2,0,60,489047527,我喜欢喜欢我的你们,1
詹姆斯布莱克,18197529,BV1Lb421H7Wh,柯南主线回顾第五十二期：FBI多人被杀，卡迈尔负伤落水,1717729826,2024-06-07 11:10:26,1308,28,0,409,70470269,六剑降龙,1
詹姆斯布莱克,18197529,BV1FY411U7C7,柯南里经常被怀疑是BOSS的人，青山是有苦说不出啊！,1672102228,2022-12-27 08:50:28,22822,8,0,101,3493081059953499,HY漫画,1
詹姆斯布莱克,18197529,BV1wPt8zgESS,【柯南主线分析】新詹黑：詹姆斯和朗姆连麦了？,1754727203,2025-08-09 16:13:23,86651,254,181,788,443610657,之徙zx,1
詹姆斯布莱克,18197529,BV1WZ421b7jQ,柯南官方主线时间线梳理5.8小哀一句话概括红黑篇,1710669600,2024-03-17 18:00:00,3503,5,3,418,3546607517698761,BUJUAN不卷就不卷,1
詹姆斯布莱克,18197529,BV15v4y147DW,名侦探柯南：卡梅隆下楼跑圈，被当成犯人抓走，长得丑也是错吗,1675904968,2023-02-09 09:09:28,108,0,0,210,3493107769281277,潘帅战斧,1
詹姆斯布莱克,18197529,BV17P411Q72q,名侦探柯南：海猿岛最终话！朗姆身份曝光！柯南爸爸多一个，黑衣组织烧海猿岛,1686317595,2023-06-09 21:33:15,300,0,0,1229,3493291270081424,twtjlz,1
詹姆斯布莱克,18197529,BV1Qs4y1v7t2,名侦探柯南：黑衣组织太嚣张，猎杀FBI探员！柯南秒破解FBI暗号，海猿岛篇来了,1686384481,2023-06-10 16:08:01,402,0,0,638,3493291270081424,twtjlz,1
詹姆斯布莱克,18197529,BV1zA4y1S7jd,【柯南数码重映】TV 258  特别片头,1652178421,2022-05-10 18:27:01,160,0,0,16,351003157,qlya2010,1
詹姆斯布莱克,18197529,BV1JY4y1r7Ej,【柯南数码重映】TV 259  特别片头,1652178600,2022-05-10 18:30:00,273,1,0,28,351003157,qlya2010,1
