排名,角色名_页面标题,排序用_本篇动画表格行数,本篇动画内_剧场版M行数,原作漫画_表格行数,柯南百科URL
1,佐藤美和子,165,20,119,https://www.conanpedia.com/index.php?title=%E4%BD%90%E8%97%A4%E7%BE%8E%E5%92%8C%E5%AD%90
2,服部平次,131,9,215,https://www.conanpedia.com/index.php?title=%E6%9C%8D%E9%83%A8%E5%B9%B3%E6%AC%A1
3,远山和叶,110,8,175,https://www.conanpedia.com/index.php?title=%E8%BF%9C%E5%B1%B1%E5%92%8C%E5%8F%B6
4,冲野洋子,105,8,64,https://www.conanpedia.com/index.php?title=%E5%86%B2%E9%87%8E%E6%B4%8B%E5%AD%90
5,贝尔摩德,100,3,127,https://www.conanpedia.com/index.php?title=%E8%B4%9D%E5%B0%94%E6%91%A9%E5%BE%B7
6,妃英理,96,10,76,https://www.conanpedia.com/index.php?title=%E5%A6%83%E8%8B%B1%E7%90%86
7,琴酒,91,4,109,https://www.conanpedia.com/index.php?title=%E7%90%B4%E9%85%92
8,安室透,89,5,111,https://www.conanpedia.com/index.php?title=%E5%AE%89%E5%AE%A4%E9%80%8F
9,白鸟任三郎,85,23,69,https://www.conanpedia.com/index.php?title=%E7%99%BD%E9%B8%9F%E4%BB%BB%E4%B8%89%E9%83%8E
10,世良真纯,83,3,118,https://www.conanpedia.com/index.php?title=%E4%B8%96%E8%89%AF%E7%9C%9F%E7%BA%AF
11,假面超人,80,6,57,https://www.conanpedia.com/index.php?title=%E5%81%87%E9%9D%A2%E8%B6%85%E4%BA%BA
12,工藤优作,77,7,82,https://www.conanpedia.com/index.php?title=%E5%B7%A5%E8%97%A4%E4%BC%98%E4%BD%9C
13,工藤有希子,77,2,101,https://www.conanpedia.com/index.php?title=%E5%B7%A5%E8%97%A4%E6%9C%89%E5%B8%8C%E5%AD%90
14,冲矢昴,70,3,78,https://www.conanpedia.com/index.php?title=%E5%86%B2%E7%9F%A2%E6%98%B4
15,京极真,68,13,44,https://www.conanpedia.com/index.php?title=%E4%BA%AC%E6%9E%81%E7%9C%9F
16,伏特加,64,7,61,https://www.conanpedia.com/index.php?title=%E4%BC%8F%E7%89%B9%E5%8A%A0
17,宫本由美,63,4,67,https://www.conanpedia.com/index.php?title=%E5%AE%AB%E6%9C%AC%E7%94%B1%E7%BE%8E
18,小林澄子,60,2,62,https://www.conanpedia.com/index.php?title=%E5%B0%8F%E6%9E%97%E6%BE%84%E5%AD%90
19,水无怜奈,57,2,66,https://www.conanpedia.com/index.php?title=%E6%B0%B4%E6%97%A0%E6%80%9C%E5%A5%88
20,山村操,55,3,57,https://www.conanpedia.com/index.php?title=%E5%B1%B1%E6%9D%91%E6%93%8D
21,宫野志保,46,4,48,https://www.conanpedia.com/index.php?title=%E5%AE%AB%E9%87%8E%E5%BF%97%E4%BF%9D
22,安德雷·卡迈尔,43,4,49,https://www.conanpedia.com/index.php?title=%E5%AE%89%E5%BE%B7%E9%9B%B7%C2%B7%E5%8D%A1%E8%BF%88%E5%B0%94
23,朗姆,41,2,56,https://www.conanpedia.com/index.php?title=%E6%9C%97%E5%A7%86
24,宫野明美,40,6,37,https://www.conanpedia.com/index.php?title=%E5%AE%AB%E9%87%8E%E6%98%8E%E7%BE%8E
25,榎本梓,40,4,46,https://www.conanpedia.com/index.php?title=%E6%A6%8E%E6%9C%AC%E6%A2%93
26,詹姆斯·布莱克,39,4,44,https://www.conanpedia.com/index.php?title=%E8%A9%B9%E5%A7%86%E6%96%AF%C2%B7%E5%B8%83%E8%8E%B1%E5%85%8B
27,世良玛丽,36,2,42,https://www.conanpedia.com/index.php?title=%E4%B8%96%E8%89%AF%E7%8E%9B%E4%B8%BD
28,铃木次郎吉,36,3,44,https://www.conanpedia.com/index.php?title=%E9%93%83%E6%9C%A8%E6%AC%A1%E9%83%8E%E5%90%89
29,羽田秀吉,33,1,43,https://www.conanpedia.com/index.php?title=%E7%BE%BD%E7%94%B0%E7%A7%80%E5%90%89
30,本堂瑛祐,31,0,35,https://www.conanpedia.com/index.php?title=%E6%9C%AC%E5%A0%82%E7%91%9B%E7%A5%90
31,若狭留美,31,0,46,https://www.conanpedia.com/index.php?title=%E8%8B%A5%E7%8B%AD%E7%95%99%E7%BE%8E
32,三池苗子,27,3,30,https://www.conanpedia.com/index.php?title=%E4%B8%89%E6%B1%A0%E8%8B%97%E5%AD%90
33,大泷悟郎,27,4,31,https://www.conanpedia.com/index.php?title=%E5%A4%A7%E6%B3%B7%E6%82%9F%E9%83%8E
34,横沟重悟,27,3,27,https://www.conanpedia.com/index.php?title=%E6%A8%AA%E6%B2%9F%E9%87%8D%E6%82%9F
35,大和敢助,26,2,38,https://www.conanpedia.com/index.php?title=%E5%A4%A7%E5%92%8C%E6%95%A2%E5%8A%A9
36,新出智明,26,0,32,https://www.conanpedia.com/index.php?title=%E6%96%B0%E5%87%BA%E6%99%BA%E6%98%8E
37,上原由衣,25,2,37,https://www.conanpedia.com/index.php?title=%E4%B8%8A%E5%8E%9F%E7%94%B1%E8%A1%A3
38,基安蒂,25,7,27,https://www.conanpedia.com/index.php?title=%E5%9F%BA%E5%AE%89%E8%92%82
39,宫野艾莲娜,25,1,27,https://www.conanpedia.com/index.php?title=%E5%AE%AB%E9%87%8E%E8%89%BE%E8%8E%B2%E5%A8%9C
40,比护隆佑,25,5,19,https://www.conanpedia.com/index.php?title=%E6%AF%94%E6%8A%A4%E9%9A%86%E4%BD%91
41,小岛元太的母亲,24,2,19,https://www.conanpedia.com/index.php?title=%E5%B0%8F%E5%B2%9B%E5%85%83%E5%A4%AA%E7%9A%84%E6%AF%8D%E4%BA%B2
42,诸伏高明,24,1,31,https://www.conanpedia.com/index.php?title=%E8%AF%B8%E4%BC%8F%E9%AB%98%E6%98%8E
43,黑田兵卫,24,3,29,https://www.conanpedia.com/index.php?title=%E9%BB%91%E7%94%B0%E5%85%B5%E5%8D%AB
44,井田,22,2,4,https://www.conanpedia.com/index.php?title=%E4%BA%95%E7%94%B0
45,羽田浩司,22,0,26,https://www.conanpedia.com/index.php?title=%E7%BE%BD%E7%94%B0%E6%B5%A9%E5%8F%B8
46,松本清长,21,2,23,https://www.conanpedia.com/index.php?title=%E6%9D%BE%E6%9C%AC%E6%B8%85%E9%95%BF
47,科恩,21,4,27,https://www.conanpedia.com/index.php?title=%E7%A7%91%E6%81%A9
48,赤木英雄,21,5,17,https://www.conanpedia.com/index.php?title=%E8%B5%A4%E6%9C%A8%E8%8B%B1%E9%9B%84
49,楠田陆道,19,0,16,https://www.conanpedia.com/index.php?title=%E6%A5%A0%E7%94%B0%E9%99%86%E9%81%93
50,铃木史郎,19,6,7,https://www.conanpedia.com/index.php?title=%E9%93%83%E6%9C%A8%E5%8F%B2%E9%83%8E
51,齐藤,19,1,2,https://www.conanpedia.com/index.php?title=%E9%BD%90%E8%97%A4
52,火伤赤井秀一,18,0,22,https://www.conanpedia.com/index.php?title=%E7%81%AB%E4%BC%A4%E8%B5%A4%E4%BA%95%E7%A7%80%E4%B8%80
53,赤井务武,18,0,18,https://www.conanpedia.com/index.php?title=%E8%B5%A4%E4%BA%95%E5%8A%A1%E6%AD%A6
54,吉田步美的父亲,17,2,13,https://www.conanpedia.com/index.php?title=%E5%90%89%E7%94%B0%E6%AD%A5%E7%BE%8E%E7%9A%84%E7%88%B6%E4%BA%B2
55,大冈红叶,17,2,25,https://www.conanpedia.com/index.php?title=%E5%A4%A7%E5%86%88%E7%BA%A2%E5%8F%B6
56,诸伏景光,17,2,18,https://www.conanpedia.com/index.php?title=%E8%AF%B8%E4%BC%8F%E6%99%AF%E5%85%89
57,伊森·本堂,16,1,13,https://www.conanpedia.com/index.php?title=%E4%BC%8A%E6%A3%AE%C2%B7%E6%9C%AC%E5%A0%82
58,伊织无我,16,2,24,https://www.conanpedia.com/index.php?title=%E4%BC%8A%E7%BB%87%E6%97%A0%E6%88%91
59,服部平藏,16,4,15,https://www.conanpedia.com/index.php?title=%E6%9C%8D%E9%83%A8%E5%B9%B3%E8%97%8F
60,松田阵平,16,3,22,https://www.conanpedia.com/index.php?title=%E6%9D%BE%E7%94%B0%E9%98%B5%E5%B9%B3
61,栗山绿,16,4,9,https://www.conanpedia.com/index.php?title=%E6%A0%97%E5%B1%B1%E7%BB%BF
62,绫小路文麿,16,5,6,https://www.conanpedia.com/index.php?title=%E7%BB%AB%E5%B0%8F%E8%B7%AF%E6%96%87%E9%BA%BF
63,哥美拉,15,0,15,https://www.conanpedia.com/index.php?title=%E5%93%A5%E7%BE%8E%E6%8B%89
64,伊达航,14,1,12,https://www.conanpedia.com/index.php?title=%E4%BC%8A%E8%BE%BE%E8%88%AA
65,佐藤正义,14,0,15,https://www.conanpedia.com/index.php?title=%E4%BD%90%E8%97%A4%E6%AD%A3%E4%B9%89
66,宫野厚司,14,0,16,https://www.conanpedia.com/index.php?title=%E5%AE%AB%E9%87%8E%E5%8E%9A%E5%8F%B8
67,胁田兼则,14,0,26,https://www.conanpedia.com/index.php?title=%E8%83%81%E7%94%B0%E5%85%BC%E5%88%99
68,萩原研二,14,2,11,https://www.conanpedia.com/index.php?title=%E8%90%A9%E5%8E%9F%E7%A0%94%E4%BA%8C
69,小岛元次,13,0,11,https://www.conanpedia.com/index.php?title=%E5%B0%8F%E5%B2%9B%E5%85%83%E6%AC%A1
70,弓长,13,0,14,https://www.conanpedia.com/index.php?title=%E5%BC%93%E9%95%BF
71,藤卷学,13,1,3,https://www.conanpedia.com/index.php?title=%E8%97%A4%E5%8D%B7%E5%AD%A6
72,风见裕也,13,5,9,https://www.conanpedia.com/index.php?title=%E9%A3%8E%E8%A7%81%E8%A3%95%E4%B9%9F
73,吉田步美的母亲,12,2,0,https://www.conanpedia.com/index.php?title=%E5%90%89%E7%94%B0%E6%AD%A5%E7%BE%8E%E7%9A%84%E6%AF%8D%E4%BA%B2
74,圆谷姐弟的母亲,12,1,7,https://www.conanpedia.com/index.php?title=%E5%9C%86%E8%B0%B7%E5%A7%90%E5%BC%9F%E7%9A%84%E6%AF%8D%E4%BA%B2
75,小麿,12,4,2,https://www.conanpedia.com/index.php?title=%E5%B0%8F%E9%BA%BF
76,皮斯克,12,2,11,https://www.conanpedia.com/index.php?title=%E7%9A%AE%E6%96%AF%E5%85%8B
77,远山银司郎,12,4,11,https://www.conanpedia.com/index.php?title=%E8%BF%9C%E5%B1%B1%E9%93%B6%E5%8F%B8%E9%83%8E
78,咕噜,11,2,11,https://www.conanpedia.com/index.php?title=%E5%92%95%E5%99%9C
79,新名香保里,11,0,12,https://www.conanpedia.com/index.php?title=%E6%96%B0%E5%90%8D%E9%A6%99%E4%BF%9D%E9%87%8C
80,三水吉右卫门,10,0,16,https://www.conanpedia.com/index.php?title=%E4%B8%89%E6%B0%B4%E5%90%89%E5%8F%B3%E5%8D%AB%E9%97%A8
81,剑崎修,10,0,12,https://www.conanpedia.com/index.php?title=%E5%89%91%E5%B4%8E%E4%BF%AE
82,服部静华,10,1,16,https://www.conanpedia.com/index.php?title=%E6%9C%8D%E9%83%A8%E9%9D%99%E5%8D%8E
83,上村直树,9,1,10,https://www.conanpedia.com/index.php?title=%E4%B8%8A%E6%9D%91%E7%9B%B4%E6%A0%91
84,巽,9,0,6,https://www.conanpedia.com/index.php?title=%E5%B7%BD
85,真田贵大,9,1,6,https://www.conanpedia.com/index.php?title=%E7%9C%9F%E7%94%B0%E8%B4%B5%E5%A4%A7
86,萩原千速,9,1,12,https://www.conanpedia.com/index.php?title=%E8%90%A9%E5%8E%9F%E5%8D%83%E9%80%9F
87,铃木绫子,9,0,15,https://www.conanpedia.com/index.php?title=%E9%93%83%E6%9C%A8%E7%BB%AB%E5%AD%90
88,东尾玛利亚,8,0,10,https://www.conanpedia.com/index.php?title=%E4%B8%9C%E5%B0%BE%E7%8E%9B%E5%88%A9%E4%BA%9A
89,中道,8,0,8,https://www.conanpedia.com/index.php?title=%E4%B8%AD%E9%81%93
90,会泽荣介,8,0,6,https://www.conanpedia.com/index.php?title=%E4%BC%9A%E6%B3%BD%E8%8D%A3%E4%BB%8B
91,圆谷朝美,8,0,7,https://www.conanpedia.com/index.php?title=%E5%9C%86%E8%B0%B7%E6%9C%9D%E7%BE%8E
