排名,英文名_自页面标题,DC_Wiki_Appearances页面,排序用_剧集数_appear_ep总数,漫画_appear_file_全页,漫画_appear_file_Manga节,WildPoliceStory链接数,剧场版_appear_movie,Specials内_ep条数,片头_appear_op,片尾_appear_ed
1,Wataru Takagi,Wataru Takagi Appearances,586,340,0,0,20,0,42,10
2,Juzo Megure,Juzo Megure Appearances,565,344,0,0,25,0,43,6
3,Voice-Changing Bowtie,Voice-Changing Bowtie Appearances,472,84,0,0,21,0,24,7
4,Stun-Gun Wristwatch,Stun-Gun Wristwatch Appearances,389,45,0,0,21,0,25,2
5,Kazunobu Chiba,Kazunobu Chiba Appearances,241,106,0,0,17,0,24,7
6,Miwako Sato,Miwako Sato Appearances,140,128,128,2,18,1,38,10
7,Heiji Hattori,Heiji Hattori Appearances,112,217,0,0,10,0,42,10
8,Power-Enhancing Kick Shoes,Power-Enhancing Kick Shoes Appearances,105,28,0,0,27,0,23,1
9,Kazuha Toyama,Kazuha Toyama Appearances,94,175,0,0,8,0,38,7
10,Detective Boys Badge,Detective Boys Badge Appearances,93,29,0,0,19,0,11,0
11,Black Organization,Black Organization Appearances,89,240,0,0,8,0,32,2
12,Wristwatch Flashlight,Wristwatch Flashlight Appearances,84,18,0,0,13,0,1,0
13,Shuichi Akai,Shuichi Akai Appearances,82,99,0,0,4,0,24,4
14,Vermouth,Vermouth Appearances,77,114,0,0,3,0,27,2
15,Yaiba Kurogane,Yaiba Kurogane Appearances,77,6,0,0,0,0,0,0
16,Sayaka Mine,Sayaka Mine Appearances,75,1,0,0,0,0,0,0
17,Masumi Sera,Masumi Sera Appearances,74,115,0,0,3,0,18,7
18,Musashi Miyamoto,Musashi Miyamoto Appearances,74,1,0,0,0,0,0,0
19,Rei Furuya,Rei Furuya Appearances,72,103,0,13,5,1,18,6
20,Tooru Amuro,Tooru Amuro Appearances,72,103,0,13,5,1,18,6
21,Shonosuke,Shonosuke Appearances,70,0,0,0,0,0,0,0
22,Gin,Gin Appearances,69,108,0,0,5,0,30,4
23,Kagetora,Kagetora Appearances,69,0,0,0,0,0,0,0
24,Takeshi Onimaru,Takeshi Onimaru Appearances,68,4,0,0,1,0,0,0
25,Kumo-Otoko,Kumo-Otoko Appearances,66,0,0,0,0,0,0,0
26,Anywhere Ball Dispensing Belt,Anywhere Ball Dispensing Belt Appearances,65,17,0,0,23,0,9,0
27,Vodka,Vodka Appearances,64,103,0,0,4,0,29,4
28,Namako-Otoko,Namako-Otoko Appearances,63,9,0,0,1,0,1,2
29,Subaru Okiya,Subaru Okiya Appearances,62,78,0,0,3,0,19,4
30,Gerozaemon Geroda,Gerozaemon Geroda Appearances,61,2,0,0,0,0,0,0
31,Yoko Okino,Yoko Okino Appearances,60,51,0,0,2,0,1,0
32,Yukiko Kudo,Yukiko Kudo Appearances,58,93,0,0,2,0,13,4
