year,works_total,sample_size_latest20,latest20_hits_sum,latest20_kudos_sum,latest20_comments_sum,top20_hits_sum,top20_kudos_sum,top20_comments_sum,top20_bookmarks_sum
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,1,1,1248,87,10,1248,87,10,29
2017,0,0,0,0,0,0,0,0,0
2018,7,7,8503,244,22,8503,244,22,37
2019,6,6,9514,462,86,9514,462,86,102
2020,15,15,26972,724,59,26972,724,59,101
2021,57,20,20810,596,90,77215,1565,120,205
2022,204,20,13964,422,36,172536,3213,82,337
2023,224,20,38568,801,22,141249,3374,507,474
2024,132,20,24038,452,25,93321,1819,384,214
2025,178,20,6297,424,90,90963,2842,560,433
2026,117,20,4830,177,54,61145,1746,822,396
