character_tag,appear_count
Matsuda Jinpei,13
Furuya Rei,12
Hagiwara Kenji,12
Date Wataru,12
Amuro Tooru,11
Morofushi Hiromitsu,10
Akai Shuuichi,8
Okiya Subaru,8
Scotch,6
Minor Characters,4
Original Female Character(s),4
Scotch (Meitantei Conan),4
Satou Miwako,4
Sera Masumi,3
Original Male Character(s),3
Edogawa Conan,3
Kudou Shinichi,3
Takagi Wataru,3
Morofushi Takaaki,3
Mouri Ran,2
Miyoshi Takuya,2
Haneda Shuukichi,2
Kaitou Kid,2
Kuroba Kaito,2
Suzuki Sonoko,2
Hattori Heiji,2
Shiratori Ninzaburou,2
Kagemiya Tsubaki,2
Kudou Yuusaku,1
Shounen Tantei-dan,1
Black Organisation (Meitantei Conan),1
Detective Boys,1
Tokyo MPD,1
Kisaki Eri,1
Kagemiya family,1
Kudou Yukiko,1
Ayanokouji Fumimaro,1
Mouri Kogorou,1
Jii Kounosuke,1
Megure Juuzou,1
Some OCs as well,1
Natalie Kuruma,1
some minor characters make an appearance too,1
Suzuki Ayako,1
Tomizawa triplets,1
the heiress that died,1
Mifune Takuya,1
Kuroba Touichi,1
and some of my OCs here too,1
Miyoshi Mai,1
Kagemiya Hoshi,1
Okiya Tsukiko,1
SI-OC - Character,1
Hondou Hidemi,1
Mizunashi Rena,1
Chianti (Meitantei Conan),1
Korn (Meitantei Conan),1
Calvados (Meitantei Conan),1
Irish (Meitantei Conan),1
Haibara Ai,1
Miyano Shiho,1
Uehara Yui,1
Yamato Kansuke,1
Vermouth,1
Araide Tomoaki,1
Jodie Starling,1
Hagiwara Chihaya,1
Chiba Kazunobu,1
