work_id,title,published,characters,relationships,primary_character_proxy
20061754,Big Little Changes,20 Aug 2019,Akai Shuuichi | Okiya Subaru | Amuro Tooru | Furuya Rei | Scotch | Morofushi Hiromitsu | Matsuda Jinpei | Hagiwara Kenji | Date Wataru | Minor Characters,Amuro Tooru | Furuya Rei/Scotch | Morofushi Hiromitsu | Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei/Scotch | Morofushi Hiromitsu | Akai Shuuichi | Okiya Subaru/Scotch | Morofushi Hiromitsu | Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei | Scotch/Bourbon | Hagiwara Kenji/Matsuda Jinpei | Minor or Background Relationship(s) | Akai Shuuichi | Okiya Subaru & Amuro Tooru | Furuya Rei & Scotch | Morofushi Hiromitsu,Akai Shuuichi | Okiya Subaru
18038348,And cherry blossoms fell,08 Mar 2019,Scotch | Morofushi Hiromitsu | Morofushi Takaaki | Amuro Tooru | Furuya Rei | Date Wataru | Matsuda Jinpei | Hagiwara Kenji | Original Female Character(s) | Original Male Character(s) | Kagemiya family | Akai Shuuichi | Okiya Subaru | Sera Masumi,Amuro Tooru | Furuya Rei & Scotch | Morofushi Hiromitsu | Morofushi Takaaki & Scotch | Morofushi Hiromitsu,Scotch | Morofushi Hiromitsu
17285132,Shinigami Tantei,05 Jan 2019,Kudou Shinichi | Edogawa Conan | Mouri Ran | Kudou Yukiko | Kudou Yuusaku | Black Organisation (Meitantei Conan) | Amuro Tooru | Furuya Rei | Matsuda Jinpei | Scotch (Meitantei Conan) | Kuroba Kaito | Kaitou Kid | Shounen Tantei-dan | Detective Boys | Suzuki Sonoko | Hagiwara Kenji | Date Wataru | Hattori Heiji | Mouri Kogorou | Kisaki Eri | Tokyo MPD,,Kudou Shinichi | Edogawa Conan
17073926,Saying Our Goodbyes,30 Dec 2018,Akai Shuuichi | Okiya Subaru | Amuro Tooru | Furuya Rei | Scotch (Meitantei Conan) | Morofushi Hiromitsu | Scotch | Matsuda Jinpei | Hagiwara Kenji | Date Wataru | Minor Characters,Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei/Scotch | Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei | Akai Shuuichi | Okiya Subaru/Scotch | Scotch/Bourbon/Rye | Amuro Tooru | Furuya Rei/Scotch,Akai Shuuichi | Okiya Subaru
16412171,Guys and Dolls,01 Nov 2018,Akai Shuuichi | Okiya Subaru | Amuro Tooru | Furuya Rei | Morofushi Hiromitsu | Scotch | Haneda Shuukichi | Matsuda Jinpei | Hagiwara Kenji | Date Wataru,Hagiwara Kenji/Matsuda Jinpei | Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei | Akai Shuuichi | Okiya Subaru/Scotch | Minor or Background Relationship(s) | Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei/Scotch,Akai Shuuichi | Okiya Subaru
16112081,ICD-10 X99 To The Heart,27 Sep 2018,Hagiwara Kenji | Matsuda Jinpei | Furuya Rei | Date Wataru | Morofushi Hiromitsu,Hagiwara Kenji/Matsuda Jinpei,Hagiwara Kenji
16094444,Crashing Down,25 Sep 2018,Original Male Character(s) | Original Female Character(s) | Date Wataru | Matsuda Jinpei | Hagiwara Kenji | Satou Miwako | Takagi Wataru | Morofushi Hiromitsu | Amuro Tooru | Furuya Rei | Ayanokouji Fumimaro | Miyoshi Takuya | Kagemiya Tsubaki | Jii Kounosuke | Megure Juuzou | Shiratori Ninzaburou | Some OCs as well,Date Wataru/Natalie Kuruma | Matsuda Jinpei/Satou Miwako | Amuro Tooru | Furuya Rei & Scotch | Hagiwara Kenji & Matsuda Jinpei,Original Male Character(s)
16063082,Academy Blues,22 Sep 2018,Original Male Character(s) | Original Female Character(s) | Date Wataru | Amuro Tooru | Furuya Rei | Morofushi Hiromitsu | Matsuda Jinpei | Hagiwara Kenji | Satou Miwako | Natalie Kuruma | some minor characters make an appearance too | Suzuki Ayako | Tomizawa triplets | the heiress that died | Mifune Takuya | Kuroba Touichi | and some of my OCs here too | Miyoshi Takuya | Miyoshi Mai | Kagemiya Tsubaki | Kagemiya Hoshi | Okiya Tsukiko,Date Wataru/Natalie Kuruma | Amuro Tooru | Furuya Rei & Scotch | Matsuda Jinpei & Hagiwara Kenji,Original Male Character(s)
15945488,A New Shadow,24 Sep 2018,Kudou Shinichi | Edogawa Conan | Kuroba Kaito | Kaitou Kid | Akai Shuuichi | Okiya Subaru | Amuro Tooru | Furuya Rei | Sera Masumi | Hattori Heiji | Minor Characters | Matsuda Jinpei | Hagiwara Kenji | Date Wataru | Scotch | Morofushi Hiromitsu,Akai Shuuichi | Okiya Subaru/Amuro Tooru | Furuya Rei | Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid | Minor or Background Relationship(s) | Hagiwara Kenji/Matsuda Jinpei,Kudou Shinichi | Edogawa Conan
15940103,Bloodstained Colibri,27 Feb 2019,Original Female Character(s) | SI-OC - Character | Matsuda Jinpei | Hagiwara Kenji | Amuro Tooru | Furuya Rei | Date Wataru | Akai Shuuichi | Okiya Subaru | Hondou Hidemi | Mizunashi Rena | Chianti (Meitantei Conan) | Korn (Meitantei Conan) | Calvados (Meitantei Conan) | Irish (Meitantei Conan) | Haibara Ai | Miyano Shiho | Takagi Wataru | Satou Miwako | Uehara Yui | Yamato Kansuke | Morofushi Takaaki | Vermouth | Kudou Shinichi | Edogawa Conan | Mouri Ran | Suzuki Sonoko | Araide Tomoaki | Jodie Starling | Scotch | Morofushi Hiromitsu | Hagiwara Chihaya,Hagiwara Kenji/Matsuda Jinpei | Matsuda Jinpei/Satou Miwako | Date Wataru/Natalie Kuruma | Satou Miwako/Takagi Wataru | Amuro Tooru | Furuya Rei/Scotch | Uehara Yui/Yamato Kansuke/Morofushi Takaaki | Vermouth/Original Female Character | Hondou Hidemi | Mizunashi Rena/Original Female Character(s) | Kudou Shinichi | Edogawa Conan/Mouri Ran,Original Female Character(s)
