year,site,matsuda_works,conan_works,share
2020,AO3,0,1655,0.0
2021,AO3,57,1469,0.03880190605854323
2022,AO3,204,2194,0.09298085688240657
2023,AO3,224,2636,0.08497723823975721
2024,AO3,132,2577,0.051222351571594875
2025,AO3,178,2919,0.06097978759849263
2026,AO3,118,1466,0.08049113233287858
2020,Pixiv,1566,6618,0.23662737987307345
2021,Pixiv,1200,5693,0.21078517477604075
2022,Pixiv,4855,8028,0.604758345789736
2023,Pixiv,2822,8338,0.3384504677380667
2024,Pixiv,1481,6854,0.2160782025094835
2025,Pixiv,2040,9730,0.20966084275436794
2026,Pixiv,1338,3827,0.3496211131434544
2020,Animexx,0,12,0.0
2021,Animexx,0,44,0.0
2022,Animexx,0,11,0.0
2023,Animexx,2,15,0.13333333333333333
2024,Animexx,2,12,0.16666666666666666
2025,Animexx,0,8,0.0
2026,Animexx,0,7,0.0
