site,novel_id,title,createDate,bookmarkCount,userName,url,tags_joined,matched_characters_joined,primary_character_proxy
Pixiv,11750699,ぶっちゃけスピリチュアルとか似合ってないね,2019-10-01T23:57:19+09:00,104,ぽるて,https://www.pixiv.net/novel/show.php?id=11750699,コナン夢 | オリ主 | 萩原研二 | 松田陣平,萩原研二 | 松田阵平,萩原研二
Pixiv,11750639,その続きは？(ネタ)ー短いよー,2019-10-01T23:49:31+09:00,29,蛇鴉,https://www.pixiv.net/novel/show.php?id=11750639,オリ主 | コナン夢 | 松田陣平 | 萩原研二 | 逆行 | トリップ,松田阵平 | 萩原研二,松田阵平
Pixiv,11750599,松田陣平成り代わり　二章,2019-10-01T23:44:01+09:00,145,ユカ,https://www.pixiv.net/novel/show.php?id=11750599,コナン夢 | クロスオーバー | チート | 成り代わり | 男主人公 | 警察学校組,,
Pixiv,11749949,【10/14裏稼業サンプル】キラキラ（Key of Lucky Life）【萩松】,2019-10-01T22:08:39+09:00,7,nago(なご),https://www.pixiv.net/novel/show.php?id=11749949,秘密の裏稼業15 | 萩松 | COMICCITYSPARK14 | トラップ解除はお手のもの! | 腐向け,,
Pixiv,11749533,再会,2019-10-01T21:05:26+09:00,61,りゅしおん,https://www.pixiv.net/novel/show.php?id=11749533,二次創作 | コナン夢 | オリ主 | 松田陣平 | 警察学校組 | 原作改変 | キャラ崩壊,松田阵平,松田阵平
Pixiv,11746528,カウントダウン ３【DC】,2019-09-30T23:50:55+09:00,171,タカセ,https://www.pixiv.net/novel/show.php?id=11746528,コナン夢 | オリ主 | 松田陣平,松田阵平,松田阵平
Pixiv,11746214,野菜醤油ラーメン,2019-09-30T23:12:32+09:00,46,しろと,https://www.pixiv.net/novel/show.php?id=11746214,萩松萩 | 萩松 | 萩原研二 | 松田陣平 | ラーメン | 名探偵コナン,萩原研二 | 松田阵平,萩原研二
Pixiv,11744979,メル友と家探しの筈が既に決まってたらしい。,2019-09-30T20:05:31+09:00,950,んで(モド菌),https://www.pixiv.net/novel/show.php?id=11744979,松田陣平 | 萩原研二 | コナン夢 | コナン夢小説100users入り,松田阵平 | 萩原研二,松田阵平
Pixiv,11744909,すれ違い両思い,2019-09-30T19:48:35+09:00,292,瑳久,https://www.pixiv.net/novel/show.php?id=11744909,コナン夢 | 松田陣平 | ネームレス | 死ネタ | 花吐き病,松田阵平,松田阵平
Pixiv,11744863,【夢企画】私と、お義兄ちゃんと、忘れられない夏の思い出　成人組,2019-09-30T19:36:59+09:00,37,作楽碧里,https://www.pixiv.net/novel/show.php?id=11744863,DC夢 | webアンソロジー | 夢企画 | 兄妹 | 女主人公 | 松田陣平 | 降谷零 | 赤井秀一,松田阵平 | 降谷零 | 赤井秀一,松田阵平
Pixiv,11744860,【夢企画】私と、お義兄ちゃんと、忘れられない夏の思い出　未成年組,2019-09-30T19:35:57+09:00,35,作楽碧里,https://www.pixiv.net/novel/show.php?id=11744860,DC夢 | webアンソロジー | 夢企画 | 兄妹 | 女主人公 | 松田陣平 | 降谷零 | 黒羽快斗 | 毛利小五郎 | 工藤新一,松田阵平 | 降谷零 | 江户川柯南,松田阵平
Pixiv,11744653,甘雨響声にふるう,2019-09-30T18:36:18+09:00,165,つるぎ,https://www.pixiv.net/novel/show.php?id=11744653,DC夢 | オリ主 | コナン夢 | 松田夢 | 松田陣平 | こんなお話いかがですか | お題メーカー,松田阵平,松田阵平
