词,背景弹幕评论词数,R,背景词数乘R,wiki词数,wiki权重,词库估计词数,R口径,R分子_全tag总量,R分母_样本总量
常规,0,1.1036720331575072,0.0,3298,1.0,3298.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
侦探,217,1.1036720331575072,239.49683119517906,1259,1.0,1498.496831195179,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
提及,0,1.1036720331575072,0.0,1240,1.0,1240.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
登场,10,1.1036720331575072,11.036720331575072,1199,1.0,1210.036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
身份,12,1.1036720331575072,13.244064397890085,869,1.0,882.24406439789,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
称呼,2,1.1036720331575072,2.2073440663150143,847,1.0,849.207344066315,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
动画,39,1.1036720331575072,43.04320929314278,744,1.0,787.0432092931428,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
漫画,38,1.1036720331575072,41.93953725998527,728,1.0,769.9395372599853,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
组织,25,1.1036720331575072,27.59180082893768,715,1.0,742.5918008289377,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
安室,15,1.1036720331575072,16.555080497362606,676,1.0,692.5550804973626,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
小五郎,28,1.1036720331575072,30.9028169284102,659,1.0,689.9028169284102,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
前篇,5,1.1036720331575072,5.518360165787536,675,1.0,680.5183601657875,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
标题,9,1.1036720331575072,9.933048298417564,654,1.0,663.9330482984176,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
时间,13,1.1036720331575072,14.347736431047593,592,1.0,606.3477364310476,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
事件,18,1.1036720331575072,19.866096596835128,576,1.0,595.8660965968352,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
搜查,0,1.1036720331575072,0.0,583,1.0,583.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
生日快乐,524,1.1036720331575072,578.3241453745337,0,1.0,578.3241453745337,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
编号,0,1.1036720331575072,0.0,573,1.0,573.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
学生,1,1.1036720331575072,1.1036720331575072,568,1.0,569.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
备注,0,1.1036720331575072,0.0,552,1.0,552.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
原作,8,1.1036720331575072,8.829376265260057,543,1.0,551.8293762652601,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
后篇,5,1.1036720331575072,5.518360165787536,546,1.0,551.5183601657875,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
姓名,0,1.1036720331575072,0.0,548,1.0,548.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
基德,35,1.1036720331575072,38.628521160512754,509,1.0,547.6285211605127,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
帝丹,0,1.1036720331575072,0.0,537,1.0,537.0,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
经历,2,1.1036720331575072,2.2073440663150143,494,1.0,496.207344066315,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
出现,21,1.1036720331575072,23.17711269630765,457,1.0,480.17711269630763,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
不详,1,1.1036720331575072,1.1036720331575072,467,1.0,468.1036720331575,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
黑衣,13,1.1036720331575072,14.347736431047593,442,1.0,456.34773643104757,全tag播放量(已抓取1000条求和) / 已抓样本视频播放量(conan_background_sample_videos.csv),3281441.0,2973203.0
