词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
白月光,10345.01472052839,292,797.483870967742,0,0.0,0,12.97206764567511
高木,6148.423771939218,294,802.9460892620416,3,202.3110160994725,199,7.657330740087431
佐藤,5825.05500897858,300,819.3327441449404,6,350.622032198945,344,7.109510819145444
意难平,5030.001269976041,160,436.9774635439682,3,3.3110160994725213,0,11.510894015407107
警校,3827.475543133272,165,450.6330092797172,1,87.10367203315751,86,8.49355343331602
小阵平,3082.2475365957876,87,237.6064958020327,0,0.0,0,12.97206764567511
萩原,3015.5867915595472,130,355.04418912947415,1,87.10367203315751,86,8.49355343331602
警官,2654.699412372441,112,305.88422448077773,2,72.20734406631502,70,8.678771900965645
景光,2524.635258417768,119,325.0019885108263,0,181.0,181,7.768060958598315
马自达,2293.8234543060917,85,232.1442775077331,0,21.0,21,9.881025192316795
五人组,2190.9238700258716,80,218.4887317719841,0,18.0,18,10.02762866650867
不能,1875.1807639916726,77,210.2954043305347,26,56.69547286209519,28,8.916888935168224
一起,1857.4097088569436,89,243.06871409633231,15,205.5550804973626,189,7.641500535197714
炸弹,1821.448562705979,84,229.4131683605833,3,152.3110160994725,149,7.939599002630451
好帅,1806.8347628320134,51,139.28656650463986,0,0.0,0,12.97206764567511
活着,1796.6389229795086,58,158.40433053468848,1,4.103672033157507,3,11.342107358523688
遗憾,1744.2824606799684,61,166.59765797613787,2,11.207344066315015,9,10.470029902399983
可爱,1738.7085376807336,67,182.9843128590367,11,31.140392364732577,19,9.501954077452314
甜甜,1735.9784976229146,49,133.82434821034025,0,0.0,0,12.97206764567511
牺牲,1709.939948004303,56,152.94211224038887,0,5.0,5,11.180308176447056
研二,1643.2084333724451,57,155.67322138753866,2,10.207344066315015,8,10.555498362057925
千速,1578.7373069678724,64,174.79098541758728,4,50.414688132630026,46,9.03214375270077
青山,1564.569660344444,79,215.7576226248343,20,304.07344066315017,282,7.251515108993223
萩松,1558.8378346001684,44,120.16880247459126,0,0.0,0,12.97206764567511
摩天轮,1555.772056209951,62,169.3287671232877,0,43.0,43,9.18787801175685
警察,1539.7451028400935,78,213.0265134776845,13,311.34773643104757,297,7.2279505386609495
太帅,1502.867219562091,45,122.89991162174105,1,1.1036720331575072,0,12.2283832407267
警校组,1487.9815693910698,42,114.70658418029166,0,0.0,0,12.97206764567511
老贼,1479.1187710832971,48,131.09323906319045,4,4.414688132630029,0,11.282952360116163
帅哥,1475.5683402497014,49,133.82434821034025,0,6.0,6,11.026157496619797
好感,1362.2284674541459,48,131.09323906319045,2,12.207344066315015,10,10.391294602138217
驯染,1346.2690389728727,38,103.78214759169245,0,0.0,0,12.97206764567511
好好,1310.13603238426,46,125.63102076889086,7,11.72570423210255,4,10.428443742364943
班长,1287.1677736401996,47,128.36212991604066,0,18.0,18,10.02762866650867
一集,1273.9081196470145,50,136.55545735749007,31,37.21383302788272,3,9.328870074463858
伊达,1265.8762299453947,60,163.86654882898807,0,189.0,189,7.725043573514625
要是,1252.4583953556046,46,125.63102076889086,11,19.140392364732577,7,9.969340276710879
心里,1245.080985707747,42,114.70658418029166,3,7.311016099472521,4,10.854485769977892
故事,1244.7989451146736,48,131.09323906319045,13,31.347736431047593,17,9.49552359839585
阵平酱,1239.9846411592248,35,95.58882015024304,0,0.0,0,12.97206764567511
白皮,1239.9846411592248,35,95.58882015024304,0,0.0,0,12.97206764567511
特别,1228.849471681784,54,147.47989394608928,5,102.51836016578754,97,8.332318655795788
一定,1223.8079776523764,49,133.82434821034025,9,44.93304829841756,35,9.144882781187468
回来,1209.4466987579788,44,120.16880247459126,3,17.31101609947252,14,10.064564794291819
短信,1186.673827502617,46,125.63102076889086,0,33.0,33,9.445707121058948
加油,1186.245361151408,45,122.89991162174105,16,26.658752530520115,9,9.65212542058135
爆炸,1182.326574522932,47,128.36212991604066,0,42.0,42,9.210867529981549
希望,1173.7785510115043,50,136.55545735749007,15,78.55508049736261,62,8.59561802747038
美和子,1168.6227240912146,53,144.74878479893945,1,133.1036720331575,132,8.073454472964784
记得,1159.8843531258212,44,120.16880247459126,16,26.658752530520115,9,9.65212542058135
降谷,1156.1287861264136,60,163.86654882898807,2,370.207344066315,368,7.05530686029737
