词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
白月光,4113.803903555428,338,338.0,1,1.1036720331575072,0,12.17101746614032
意难平,2349.8517340194417,200,200.0,2,2.2073440663150143,0,11.749258670097207
好帅,2053.437597503108,159,159.0,0,0.0,0,12.914701871088731
佐藤,1533.0572027687474,217,217.0,2,346.207344066315,344,7.064779736261509
高木,1367.9936937901894,180,180.0,3,202.3110160994725,199,7.5999649655010515
马自达,1329.3606013058964,136,136.0,1,22.10367203315751,21,9.774710303719827
炸弹,1216.0972978152442,154,154.0,1,150.1036720331575,149,7.896735700098988
老婆,1107.5625894187692,91,91.0,1,1.1036720331575072,0,12.17101746614032
警官,1088.964469137833,128,128.0,10,81.03672033157507,70,8.50753491513932
老公,1082.4359113656578,102,102.0,0,9.0,9,10.612116778094684
警校,1039.2016315494,123,123.0,0,86.0,86,8.448793752434145
太帅,916.9438328472999,71,71.0,0,0.0,0,12.914701871088731
萩原,904.0209315104536,107,107.0,0,86.0,86,8.448793752434145
阵平酱,761.9674103942351,59,59.0,0,0.0,0,12.914701871088731
白皮,723.2233047809689,56,56.0,0,0.0,0,12.914701871088731
研二,707.3535013876657,66,66.0,0,8.0,8,10.717477293752511
世良,691.9660105055532,94,94.0,1,257.1036720331575,256,7.361340537293119
帅哥,691.0338784881053,63,63.0,0,6.0,6,10.968791722033417
可爱,674.3073903984814,70,70.0,6,25.622032198945043,19,9.632962719978305
萩原研二,664.0728457730016,72,72.0,1,39.10367203315751,38,9.223233969069467
萩松,645.7350935544365,50,50.0,0,0.0,0,12.914701871088731
不能,631.1498825880964,68,68.0,8,36.82937626526006,28,9.281615920413183
甜甜,606.9909879411704,47,47.0,0,0.0,0,12.914701871088731
摩天轮,464.3926486126193,51,51.0,1,44.10367203315751,43,9.105738208090575
好感,452.2226837264855,43,43.0,0,10.0,10,10.51680659829036
快斗,448.48492899726637,56,56.0,1,134.1036720331575,133,8.008659446379756
透子,411.22405345340223,35,35.0,2,2.2073440663150143,0,11.749258670097207
五人组,408.7807785688139,41,41.0,0,18.0,18,9.97026289192229
记得,406.0939009847305,39,39.0,2,11.207344066315015,9,10.412664127813603
警察,403.5672963685527,56,56.0,3,300.3110160994725,297,7.2065588637241556
青山,399.1692750240557,55,55.0,3,285.3110160994725,282,7.257623182255558
不行,398.6065863889996,36,36.0,3,5.311016099472521,2,11.072405177472211
好好,395.684238552912,35,35.0,0,4.0,4,11.30526395865463
活着,394.96595543780575,35,35.0,1,4.103672033157507,3,11.284741583937308
炸死,383.9077102711696,35,35.0,0,6.0,6,10.968791722033417
景光,370.11336883257286,48,48.0,0,181.0,181,7.710695184011935
拆弹,346.98297845723295,35,35.0,1,19.10367203315751,18,9.91379938449237
难过,341.6813620793594,29,29.0,1,2.1036720331575074,1,11.782115933771014
斗子,340.72850143281903,29,29.0,2,2.2073440663150143,0,11.749258670097207
爆炸,338.6795649496212,37,37.0,0,42.0,42,9.153501755395167
