词,score,target_count,target_est_tf,background_count,background_est_tf,wiki_count,idf_from_background
白月光,10675.441727535028,630,871.2130391834047,1,1.1036720331575072,0,12.253537593446959
意难平,5537.230525655862,360,497.836022390517,5,5.518360165787536,0,11.122599162405123
佐藤,5096.43934599065,517,714.9478432663814,8,352.82937626526007,344,7.128407189406367
高木,5025.157918863993,474,655.484096147514,6,205.62203219894505,199,7.666330805580829
好帅,3774.4497593878114,210,290.40434639446823,0,0.0,0,12.99722199839537
警校,3392.735680085942,288,398.2688179124136,1,87.10367203315751,86,8.518707786036277
马自达,3012.5273613742884,221,305.61600263417847,1,22.10367203315751,21,9.857230431026466
警官,2842.147140856132,240,331.890681593678,12,83.24406439789009,70,8.563503883895336
萩原,2791.9387367373897,237,327.742048073757,1,87.10367203315751,86,8.518707786036277
炸弹,2619.038005276083,238,329.1249259137307,4,153.41468813263003,149,7.9575802349366205
太帅,1965.636889514386,116,160.41382943694435,1,1.1036720331575072,0,12.253537593446959
老公,1933.087441699289,132,182.5398748765229,1,10.103672033157507,9,10.589946130985927
景光,1799.7698142797003,167,230.94059927560093,0,181.0,181,7.793215311318574
研二,1799.7052711220372,123,170.09397431675998,2,10.207344066315015,8,10.580652714778184
可爱,1769.4593770489996,137,189.45426407639118,17,37.76242456367763,19,9.33977066008672
不能,1764.4812308079865,145,200.51728679618046,34,65.52484912735525,28,8.799646449443166
甜甜,1725.462747148714,96,132.7562726374712,0,0.0,0,12.99722199839537
帅哥,1711.652797018155,112,154.88231807704972,0,6.0,6,11.051311849340056
阵平酱,1689.5156065831156,94,129.99051695752388,0,0.0,0,12.99722199839537
萩松,1689.5156065831156,94,129.99051695752388,0,0.0,0,12.99722199839537
五人组,1682.114274949976,121,167.32821863681266,0,18.0,18,10.05278301922893
白皮,1635.5948957347184,91,125.8418834376029,0,0.0,0,12.99722199839537
小阵平,1563.7006146035221,87,120.31037207770828,0,0.0,0,12.99722199839537
老婆,1553.5007863645612,101,139.67066183733948,5,5.518360165787536,0,11.122599162405123
活着,1436.7388103513465,93,128.60763911755024,2,5.207344066315015,3,11.171488880517707
摩天轮,1435.8049889170688,113,156.2651959170234,1,44.10367203315751,43,9.188258335397213
萩原研二,1347.2736834044244,105,145.20217319723412,2,40.20734406631502,38,9.278605503888478
青山,1346.407503497459,134,185.30563055647022,23,307.3844567626227,282,7.265874757578688
警察,1342.0871968181286,134,185.30563055647022,16,314.65875253052013,297,7.242560265372722
好感,1310.8255552110409,91,125.8418834376029,2,12.207344066315015,10,10.416448954858476
牺牲,1286.1502229139749,83,114.77886071781364,0,5.0,5,11.205462529167313
一起,1250.1719783490482,118,163.17958511689167,16,206.6587525305201,189,7.6613258788071015
好好,1170.939981448418,81,112.01310503786632,7,11.72570423210255,4,10.453598095085201
世良,1169.5166157084202,114,157.64807375699704,7,263.72570423210254,256,7.41852778684213
警校组,1132.3349278163435,63,87.12130391834047,0,0.0,0,12.99722199839537
记得,1101.9342290104069,83,114.77886071781364,18,28.866096596835128,9,9.600498054424294
老贼,1094.64111296672,70,96.80144879815609,4,4.414688132630029,0,11.308106712836421
驯染,1078.4142169679462,60,82.9726703984195,0,0.0,0,12.99722199839537
爆炸,1072.8723592524098,84,116.1617385577873,0,42.0,42,9.236021882701806
透子,1061.3025174173738,69,95.41857095818243,5,5.518360165787536,0,11.122599162405123
伊达,1007.4522349544019,94,129.99051695752388,0,189.0,189,7.750197926234883
降谷,1007.2506881557221,103,142.4364175172868,5,373.51836016578756,368,7.071581170829974
遗憾,999.8596770769467,70,96.80144879815609,4,13.41468813263003,9,10.328974302458915
千速,999.6612792262936,80,110.63022719789267,5,51.518360165787534,46,9.036059172491111
短信,982.2783343162146,75,103.71583799802437,0,33.0,33,9.470861473779207
回来,979.477210191599,71,98.18432663812975,5,19.518360165787534,14,9.975901895234065
一定,969.0286258109367,77,106.48159367797169,12,48.244064397890085,35,9.100433157880166
要是,966.358757894153,71,98.18432663812975,14,22.4514084642051,7,9.842291442867307
快斗,965.8364777724358,87,120.31037207770828,9,142.93304829841756,133,8.027873749310688
突然,962.9273618579692,72,99.5672044781034,8,26.82937626526006,18,9.671129835424214
完全,947.3786229515971,74,102.33296015805071,20,41.073440663150144,19,9.257805319892968
一集,933.5800785643664,74,102.33296015805071,40,47.14688132630029,3,9.12296563221151
