词,tfidf_sum
啊啊啊,219.07342537086078
呜呜,211.06263026267536
白月光,208.7903810169361
哈哈哈,192.57873231860717
好帅,130.00217884161964
意难平,113.06099445669135
进入,111.98267371493587
喜欢,110.1244685221088
哈哈哈哈,100.22374582282909
不是,98.22461561543764
以前,89.47451684289014
就是,80.16590934466652
佐藤,78.82861384786071
高木,77.56611469379334
马自达,77.18115538507845
老公,62.342957016174566
世良,59.54439919870878
现在,59.07828145492572
警校,57.08657123549683
画风,56.48654220558647
警官,55.67621815955222
太帅,55.43907070230262
炸弹,55.233479974689324
柯南,54.10539067474785
好像,54.082573097180926
这么,52.701017519649504
原研,52.134957972771396
为什么,51.648986416426865
可爱,48.870847347508516
不要,48.81349686394431
这里,47.105501158676226
萩原,47.01315991501593
永远,47.002189087886364
可能,46.07943190901486
时候,44.78150237029591
阵平酱,44.683919467074496
帅哥,42.402909658235544
萩松,41.108050168424995
好看,38.24245539137385
研二,37.487080892059055
老婆,37.33154567543042
前面,36.43222564278886
快斗,35.36114012859116
一样,35.28737503933906
哈哈,33.63737791993854
不会,33.24379475571987
这是,32.90591133309924
一直,32.77949658869953
不能,31.167615972120412
以为,30.152214847341906
有点,30.00999137662421
景光,29.443601232322607
甜甜,29.017909210246593
hagi,28.381149305389503
那么,27.885991801118035
直接,27.846938256404734
白皮,26.9259058705394
已经,26.4840571686003
最后,26.20230522471266
青山,26.13822619907293
救命,25.977625980528224
摩天轮,25.128245621670718
其实,24.82043576982626
这种,24.252966775141083
警察,24.0095940622905
一下,23.055729378092483
白鸟,22.627559366044363
降谷,22.16171529846207
不行,21.223656610222967
剧场版,20.948942735902335
透子,20.72647950290406
漫画,20.662533312079418
五人组,20.539140801710328
开始,20.5290174980169
好感,20.378693261032918
记得,20.156817052050926
只是,19.33204684772483
好好,19.26131682654646
回来,19.25694117554906
两个,18.9996872964282
斗子,18.750013053736854
可是,18.300411758571215
之前,18.264845725398647
命中注定,17.823486852369715
犯人,17.76396613268094
难平,17.68278450637441
非常,17.64672039910866
还有,17.612561393360636
一点,17.57582490282233
声音,17.41205815511615
活着,17.264064482524816
后面,17.190969074484816
墨镜,17.137961153722273
真是,17.101676502144464
可惜,17.06096895536237
回忆,16.897854299147557
突然,16.706898899768177
难过,16.578461714017145
居然,16.525128656081137
年轻,16.28399196807109
死神,16.248162018983965
的话,16.211017695282134
男人,16.114237123048472
明明,15.714753182260168
拆弹,15.470912032066565
一集,15.362954404795278
爆炸,15.33533633864668
为了,15.20139400199196
最帅,15.140089809372505
炸死,15.035306478412188
泪目,15.023628512325164
配音,15.005419778047061
顶级,14.991595854253562
卧槽,14.72426483111029
很帅,14.696162969120454
JhengHei,14.541130159135008
Microsoft,14.541130159135008
SimHei,14.541130159135008
完全,14.469478752705488
角色,14.455211924325893
剧情,14.162247382753131
一起,14.044824314916823
日本,14.018416886927008
曲对币,14.0
新一,13.883242864565327
医院,13.852897320092197
卷毛,13.782507324962983
当时,13.677418754851102
下巴,13.50348967893209
复活,13.500842977066519
伊达,13.47756626403337
防护服,13.346265477767771
姐姐,13.271701195452192
别去,13.101633789309489
殉职,13.10146904730341
忘记,13.091499882474283
后来,12.932306597314819
黑羽,12.821205406401159
西瓜,12.798383490018502
之后,12.77534689822539
真纯,12.73443789597864
驯染,12.658692768501503
成熟,12.555769472134202
男神,12.518266772975354
正常,12.510109959523918
短信,12.474586645889893
问题,12.338762279329533
hiro,12.311446166640788
人物,12.063211106937876
这才,12.010707847741465
只能,11.960440593431958
只有,11.939113654505908
要是,11.875793771678458
发型,11.743406950855581
一定,11.676386109204126
眼睛,11.64971730204332
时期,11.570305444167255
别用,11.50031214643722
工具,11.4563772056804
少年,11.37968135196152
出场,11.356470174982558
难受,11.353584819901947
为啥,11.350347970509215
肯定,11.34723504714672
牺牲,11.270958439754091
摄像头,11.141620228525124
发现,11.052392378296418
死去,11.026138875358988
比较,11.020503091109573
有点像,11.003840829973527
原来,10.980252074183792
动画,10.866648286147425
世界,10.857854567216345
江莱,10.848172879580188
doge,10.824498593236115
想到,10.723695839528666
看过,10.541566221039856
毕竟,10.520661476260683
时间,10.516979695071058
温柔,10.47199682967533
抽烟,10.40393322110475
是因为,10.34890709135602
长大,10.347762256243234
每个,10.334605787729256
老贼,10.303967698740996
表情,10.296942475751823
yyds,10.26205263201657
手机,10.253810790594517
这集,10.242905394030407
帅死,10.19071877923121
死亡,10.146671109822204
性格,10.098911825573467
希望,10.061199802495183
我们,10.035712778955913
表白,10.010223296615212
赤零,10.0
美和子,9.929764891490994
滤镜,9.849963377612614
纯元,9.833223362035069
排除,9.817143969517915
