词,tfidf_sum
白月光,302.24608290650633
啊啊啊,286.5899395495796
呜呜,280.1367495130741
哈哈哈,231.66333897731053
喜欢,186.3029652379938
意难平,166.79922180800384
好帅,158.15324005133576
不是,132.6029462927268
高木,130.5078841139416
佐藤,130.09110972179124
就是,125.4008045704427
哈哈哈哈,117.39096099736588
以前,113.659041010227
进入,111.68173609691486
马自达,108.22988740229373
现在,103.16036518848746
警校,97.35367635390062
画风,94.00139508002589
永远,87.07037721007266
警官,86.49012465910714
柯南,86.24136441011814
这么,85.3104274062582
为什么,81.30045256140124
太帅,79.70564216300704
老公,79.15207948165583
时候,77.83041656072366
萩原,73.59035636299167
可爱,73.54024567154364
好像,69.2727450884965
炸弹,68.43696337154165
世良,64.98660888318642
可能,64.67406450080429
不要,64.46887815172772
阵平酱,62.770843567449106
原研,60.18835203984358
萩松,59.76113407589222
好看,59.03919195300134
帅哥,57.51110250719133
一直,53.23698414540783
这是,52.15192700693997
一样,52.04540228661802
不会,51.99968442386272
这里,51.42185516992502
那么,49.477463548252935
研二,49.13294606840556
已经,48.28411838464264
景光,47.58606332108666
最后,47.28684822453077
甜甜,46.44949287337283
不能,46.28973593653281
复活,46.190012258670656
以为,46.148377627031955
其实,45.53774891706174
快斗,44.756195537816374
青山,43.256441262972125
hagi,42.33559529313755
老婆,42.17333136161504
直接,42.147351995404044
哈哈,41.95540621114659
五人组,41.93053339109647
一下,41.623110511526306
有点,41.20603437274995
剧场版,41.07434693577944
前面,40.68651302705848
摩天轮,40.289412469460736
还有,40.09696742316198
一集,39.33084825739605
警察,37.70265823457629
救命,37.64370314169349
这种,37.4393769031652
小阵平,36.999465470071634
白皮,36.67746380322879
回来,36.48112613173967
漫画,33.884397096728705
回忆,33.67909485972219
角色,33.3520050840626
降谷,33.23602705017243
活着,32.866752017291724
好好,32.81857668147353
开始,32.370229579217614
出场,32.11529393123889
真是,31.705950824182718
两个,31.682863092502647
加油,31.175566687415245
之前,31.117004808409824
后面,30.494436085767244
记得,29.967536134254775
只是,29.901654167637805
男人,29.688077413007786
一起,29.56546965515994
居然,29.4072792246941
西瓜,28.953622165454938
可惜,28.688155969348514
透子,28.63079727609881
难平,28.623113180023132
突然,28.570002913705636
好感,28.177125214437282
可是,27.851048806258387
剧情,27.02900575076055
的话,26.979280455405238
为了,26.90774684585368
一点,26.83409394465999
千速,26.78654756239718
当时,26.681880321848592
白鸟,26.323095367811963
不行,26.27918370975001
爆炸,26.235536063718694
明明,25.454213553078265
要是,25.396988162834738
斗子,25.272707299069456
难过,24.939136739696707
声音,24.41366908184437
老师,24.132272567170332
驯染,24.02791202909991
完全,23.829653485672463
希望,23.284273180457138
之后,22.69456177124566
很帅,22.62845999883915
伊达,22.21437047150728
非常,22.071275307176137
原来,22.058911408825992
犯人,21.98525856971408
牺牲,21.877993480441138
封面,21.5312344442543
我们,21.527267223168362
动画,21.510552040535792
一定,21.485229217168694
老贼,21.468444525782264
出现,21.457684402707617
人物,21.40547345095684
只有,21.099854947999564
墨镜,20.67706508232868
时间,20.61413092668992
命中注定,20.504115663793147
殉职,20.456711266826765
安室,20.32125744444446
忘记,20.204423491999002
今天,20.12814411497601
谢谢,20.127832440418125
炸死,19.65343594332242
发现,19.59480723439408
拆弹,19.53404811576971
想到,19.48028755480182
卷毛,19.44405862494579
年轻,19.442947887035622
名柯,19.34819715652803
短信,19.154857109626242
世界,19.074736889200985
卧槽,18.92522852662534
泪目,18.92063804127332
第几,18.91912284614762
后来,18.902850144148335
终于,18.861384543912802
男神,18.805593773112435
多少,18.763813566367975
变成,18.69506033203408
故事,18.567095718775207
表白,18.546327996974124
死去,18.4365595979213
这才,18.3988279424103
最帅,18.32735210577087
温柔,18.301702983905642
万圣节,18.247443080645446
美和子,18.242979934641017
日本,18.166165241066437
遗憾,18.138625295930108
只能,18.119920056966553
特别,18.100219099929546
hiro,18.087981523825682
难受,18.013018404881652
看好,17.97201159005839
松佐,17.750417540711407
心里,17.748455707238683
新一,17.69819394874836
竟然,17.67917155092799
每次,17.576811767608785
姐姐,17.555236225578227
比较,17.480345844619986
新娘,17.39133568373751
配音,17.290576490527123
样子,17.251447543817015
不错,17.236064995961936
黑羽,17.19571256087275
不了,17.154978299037825
有点像,17.046054015343884
基德,17.016715313648707
死神,17.01600835572768
看过,16.921814505207237
根本,16.911814049715876
一次,16.852628506224992
狂喜,16.766327960337915
这集,16.735558365775834
惊艳,16.7098274313944
人质,16.57781208014079
毕竟,16.572344938463342
不过,16.451017774114334
问题,16.432747656432046
本来,16.432401580662308
成熟,16.40350612857357
性格,16.40118757638995
